@relation 'HTS data set-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 23'

@attribute feature7 numeric
@attribute feature236 numeric
@attribute feature10 numeric
@attribute feature239 numeric
@attribute feature124 numeric
@attribute feature2 numeric
@attribute feature241 numeric
@attribute feature9 numeric
@attribute feature3 numeric
@attribute feature125 numeric
@attribute feature244 numeric
@attribute feature165 numeric
@attribute feature195 numeric
@attribute feature242 numeric
@attribute feature4 numeric
@attribute feature225 numeric
@attribute feature132 numeric
@attribute feature237 numeric
@attribute feature5 numeric
@attribute feature128 numeric
@attribute feature6 numeric
@attribute feature129 numeric
@attribute feature127 numeric
@attribute class {1,2,3,4,5,6,7,8,9,10}

@data
0.019786,0.013695,0.026413,0.02678,0.016207,0.02052,0.013312,0.013672,0.002307,0.005818,0.026413,9.325952,9.639805,0.006472,0.013672,9.852624,0.019562,0.005789,0.026566,1.653468,2.334768,0.009085,0.02678,8
0.020134,0.014263,0.023606,0.023774,0.016055,0.019268,0.013646,0.015503,0.00191,0.005012,0.023606,10.662827,10.980871,0.006302,0.015335,11.178471,0.019562,0.00538,0.023606,1.76614,2.496651,0.009394,0.023774,8
0.022504,0.01675,0.026215,0.026215,0.018984,0.022941,0.016802,0.01796,0.001839,0.00508,0.025757,11.369199,11.666084,0.006317,0.01796,11.842817,0.02295,0.004954,0.02681,2.276905,2.430396,0.013238,0.02681,8
0.01888,0.013918,0.023911,0.023911,0.017231,0.021228,0.014901,0.015747,0.001977,0.005159,0.023911,10.724199,11.040389,0.005572,0.015747,11.279394,0.022431,0.004422,0.025116,2.239506,2.416663,0.012105,0.025116,8
0.017626,0.0128,0.022049,0.022049,0.014855,0.018031,0.012481,0.011643,0.001465,0.004288,0.022049,10.321801,10.583677,0.004984,0.011643,10.752122,0.015137,0.00427,0.022049,1.713497,2.203296,0.009066,0.022049,8
0.008277,0.008114,0.009293,0.010132,0.008372,0.008564,0.007955,0.007172,0.000841,0.000836,0.009918,8.774124,8.815997,0.000837,0.006836,8.850323,0.009918,0.000729,0.010971,2.183841,1.804349,0.007744,0.010971,3
0.008291,0.008113,0.009491,0.010864,0.008127,0.008154,0.007955,0.006668,0.000783,0.00092,0.010727,8.854095,8.897047,0.001111,0.006668,8.911093,0.010727,0.001022,0.010803,1.862593,1.475792,0.007729,0.010864,3
0.009442,0.009103,0.010819,0.011154,0.009271,0.009447,0.008851,0.00795,0.000873,0.00086,0.010651,8.009384,8.060752,0.000924,0.007507,8.090517,0.010605,0.000789,0.012589,1.840848,1.491875,0.008444,0.012589,3
0.010147,0.009566,0.012909,0.012909,0.010551,0.011537,0.009411,0.006912,0.001648,0.002065,0.012909,9.286219,9.415303,0.001865,0.006912,9.519082,0.011749,0.001939,0.015473,1.907363,1.532189,0.008871,0.015473,4
0.009795,0.009107,0.011154,0.011353,0.009937,0.010926,0.008987,0.007736,0.001054,0.001473,0.011048,9.045411,9.21066,0.00135,0.007736,9.35503,0.010651,0.001196,0.013886,1.767819,1.439811,0.008418,0.013886,4
0.006132,0.006228,0.006699,0.009308,0.006072,0.005923,0.006268,0.00557,0.000185,0.000458,0.009308,3.729749,3.675014,0.000802,0.005371,3.640346,0.009308,0.000572,0.006699,1.619684,1.165164,0.006377,0.009308,9
0.007527,0.006867,0.008515,0.008606,0.007598,0.008309,0.006871,0.006516,0.000879,0.001174,0.008484,8.231517,8.350948,0.000995,0.006516,8.464465,0.008209,0.000925,0.011048,1.539147,1.332296,0.006387,0.011048,4
0.009066,0.008236,0.011032,0.011612,0.009237,0.010047,0.008202,0.006561,0.000959,0.001599,0.011612,10.525457,10.771266,0.001665,0.006561,10.940394,0.011612,0.001613,0.012177,1.635767,1.450584,0.007538,0.012177,4
0.007653,0.00782,0.008865,0.01091,0.007405,0.007021,0.007764,0.00676,0.000454,0.000698,0.01091,5.467401,5.399154,0.000768,0.00618,5.30987,0.01091,0.000661,0.008865,1.983887,1.438697,0.007873,0.01091,1
0.014234,0.013428,0.016831,0.017853,0.013371,0.013389,0.013634,0.011505,0.001096,0.001806,0.017609,9.54991,9.526605,0.002352,0.011063,9.526302,0.017609,0.002275,0.017014,2.908217,2.220508,0.013219,0.017853,3
0.00897,0.008379,0.010605,0.010605,0.008562,0.008797,0.00821,0.00763,0.000735,0.000869,0.010605,9.80126,9.890187,0.001136,0.00737,9.933927,0.009628,0.000926,0.010986,1.797116,1.52488,0.00768,0.010986,3
