@relation 'HTS data set-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 118'

@attribute feature7 numeric
@attribute feature236 numeric
@attribute feature10 numeric
@attribute feature239 numeric
@attribute feature124 numeric
@attribute feature2 numeric
@attribute feature241 numeric
@attribute feature9 numeric
@attribute feature3 numeric
@attribute feature125 numeric
@attribute feature244 numeric
@attribute feature165 numeric
@attribute feature195 numeric
@attribute feature242 numeric
@attribute feature4 numeric
@attribute feature225 numeric
@attribute feature132 numeric
@attribute feature237 numeric
@attribute feature5 numeric
@attribute feature128 numeric
@attribute feature6 numeric
@attribute feature129 numeric
@attribute feature127 numeric
@attribute feature130 numeric
@attribute feature162 numeric
@attribute feature171 numeric
@attribute feature240 numeric
@attribute feature122 numeric
@attribute feature60 numeric
@attribute feature172 numeric
@attribute feature223 numeric
@attribute feature193 numeric
@attribute feature54 numeric
@attribute feature346 numeric
@attribute feature111 numeric
@attribute feature8 numeric
@attribute feature196 numeric
@attribute feature166 numeric
@attribute feature235 numeric
@attribute feature164 numeric
@attribute feature121 numeric
@attribute feature226 numeric
@attribute feature345 numeric
@attribute feature163 numeric
@attribute feature14 numeric
@attribute feature136 numeric
@attribute feature202 numeric
@attribute feature113 numeric
@attribute feature234 numeric
@attribute feature83 numeric
@attribute feature51 numeric
@attribute feature84 numeric
@attribute feature201 numeric
@attribute feature81 numeric
@attribute feature138 numeric
@attribute feature16 numeric
@attribute feature233 numeric
@attribute feature114 numeric
@attribute feature59 numeric
@attribute feature315 numeric
@attribute feature13 numeric
@attribute feature53 numeric
@attribute feature50 numeric
@attribute feature91 numeric
@attribute feature316 numeric
@attribute feature92 numeric
@attribute feature232 numeric
@attribute feature203 numeric
@attribute feature161 numeric
@attribute feature192 numeric
@attribute feature126 numeric
@attribute feature168 numeric
@attribute feature238 numeric
@attribute feature107 numeric
@attribute feature150 numeric
@attribute feature38 numeric
@attribute feature167 numeric
@attribute feature231 numeric
@attribute feature131 numeric
@attribute feature135 numeric
@attribute feature243 numeric
@attribute feature331 numeric
@attribute feature115 numeric
@attribute feature204 numeric
@attribute feature229 numeric
@attribute feature170 numeric
@attribute feature180 numeric
@attribute feature55 numeric
@attribute feature85 numeric
@attribute feature210 numeric
@attribute feature68 numeric
@attribute feature160 numeric
@attribute feature227 numeric
@attribute feature198 numeric
@attribute feature197 numeric
@attribute feature98 numeric
@attribute feature175 numeric
@attribute feature66 numeric
@attribute feature194 numeric
@attribute feature90 numeric
@attribute feature145 numeric
@attribute feature96 numeric
@attribute feature221 numeric
@attribute feature205 numeric
@attribute feature89 numeric
@attribute feature120 numeric
@attribute feature152 numeric
@attribute feature285 numeric
@attribute feature228 numeric
@attribute feature173 numeric
@attribute feature61 numeric
@attribute feature219 numeric
@attribute feature119 numeric
@attribute feature190 numeric
@attribute feature191 numeric
@attribute feature182 numeric
@attribute feature36 numeric
@attribute feature52 numeric
@attribute class {1,2,3,4,5,6,7,8,9,10}

@data
0.019786,0.013695,0.026413,0.02678,0.016207,0.02052,0.013312,0.013672,0.002307,0.005818,0.026413,9.325952,9.639805,0.006472,0.013672,9.852624,0.019562,0.005789,0.026566,1.653468,2.334768,0.009085,0.02678,0.0036,0.912579,-0.421326,3.94023,0.493379,0.870008,0.900155,4.656672,4.642934,7.17169,0.490385,1.217397,0.003907,14.83761,17.32749,28.459129,0.733377,0.096201,12.667525,0.104315,4.696226,0.002795,0.00278,0.74924,9.400609,0.240463,9.477437,1.758223,5.987758,-0.210308,1.433711,0.013962,0.013962,0.190474,4.978458,-0.400595,0.04426,0.007797,9.533712,0.864314,0.052586,0.045569,0.044888,0.608652,0.01937,0.803647,0.722426,0.005631,3.109617,0.005631,0.455913,4.526864,7.595451,2.588991,-0.118438,0.005631,0.005294,0.005631,0.42271,2.133658,0.036778,2.166282,0.959051,4.69538,2.364741,2.243789,4.887979,8.009025,0.063544,2.545519,3.491462,2.586562,8.286004,0.267415,4.778861,0.586025,0.749954,0.339981,4.891846,4.360253,0.199318,-0.234574,0.662053,1.757707,0.034741,3.635626,0.007147,0.038291,0.166079,-0.163331,0.044792,2.439389,1.906692,4.789269,0.743623,8
0.020134,0.014263,0.023606,0.023774,0.016055,0.019268,0.013646,0.015503,0.00191,0.005012,0.023606,10.662827,10.980871,0.006302,0.015335,11.178471,0.019562,0.00538,0.023606,1.76614,2.496651,0.009394,0.023774,0.004065,0.868366,-0.367448,4.202976,0.402443,0.838712,0.867704,3.5991,3.842118,12.558813,0.375589,3.906162,0.001917,11.927075,15.887248,30.594934,0.697478,0.054079,8.672566,0.068172,4.240848,0.002595,0.002609,0.673721,7.901304,0.089705,8.11289,3.571362,10.339404,-0.162032,3.703859,0.012589,0.012589,0.271408,8.647615,-0.305634,0.075633,0.007539,8.420446,0.828695,0.068876,0.059169,0.062308,0.545311,0.054046,1.119863,0.53784,0.005463,3.091297,0.005463,0.356477,4.792653,8.209839,2.495725,-0.096225,0.005463,0.00518,0.005463,0.302888,2.441743,0.049088,3.146913,1.080482,4.958443,2.595855,2.512437,5.145161,8.612468,0.069423,2.366853,3.406484,2.464526,8.842644,0.269859,5.431691,0.539722,0.657594,0.335667,5.628636,6.406382,0.207268,-0.141433,0.546105,1.785953,0.0091,3.462053,0.028771,0.003782,0.086459,-0.087753,0.050764,3.587071,1.93188,5.462105,0.668576,8
0.022504,0.01675,0.026215,0.026215,0.018984,0.022941,0.016802,0.01796,0.001839,0.00508,0.025757,11.369199,11.666084,0.006317,0.01796,11.842817,0.02295,0.004954,0.02681,2.276905,2.430396,0.013238,0.02681,0.005226,0.863457,-0.362444,4.637247,0.63307,0.825203,0.862131,3.018823,3.099397,9.88877,0.601365,2.467704,0.00229,9.857906,12.635355,27.772152,0.695441,0.226132,7.652999,0.258568,3.411001,0.004331,0.003872,0.686686,9.749679,0.372732,9.859106,2.56324,8.249336,-0.174314,2.482189,0.019852,0.019852,0.125617,6.477776,-0.300022,0.084331,0.008992,9.99794,0.822804,0.084808,0.234439,0.195726,0.566528,0.074201,0.926489,0.563764,0.005966,3.060166,0.005966,1.473742,3.965503,6.489186,2.486252,-0.107345,0.005966,0.005802,0.005966,1.41253,2.272572,0.118622,2.240551,0.998674,4.091783,2.502869,2.413193,4.232276,6.862543,0.067705,2.255771,3.338674,2.380957,7.078305,0.357708,4.722841,0.541977,0.634208,0.426451,4.921088,4.931437,0.290401,-0.135059,0.517066,1.531183,0.013332,3.411958,0.037153,0.005518,0.79671,-0.081715,0.05158,2.750874,1.668193,4.682991,0.642636,8
0.01888,0.013918,0.023911,0.023911,0.017231,0.021228,0.014901,0.015747,0.001977,0.005159,0.023911,10.724199,11.040389,0.005572,0.015747,11.279394,0.022431,0.004422,0.025116,2.239506,2.416663,0.012105,0.025116,0.005457,0.925609,-0.465145,4.604517,0.28628,0.861218,0.917753,3.022196,3.444598,9.426666,0.213273,2.205799,0.002035,14.432176,17.047216,23.619211,0.725889,0.117707,12.104083,0.081882,4.114453,0.002732,0.002721,0.823171,10.804943,0.208974,10.782678,2.300918,8.054616,-0.288346,2.159306,0.013489,0.013489,0.107851,7.207319,-0.361628,0.019859,0.007386,10.654666,0.852532,0.061869,0.086183,0.039316,0.70885,0.057714,0.695315,0.766766,0.006134,3.016192,0.006134,0.38644,4.810144,7.280676,2.569697,-0.179304,0.006134,0.00542,0.006134,0.344255,2.294803,0.006417,1.713393,0.880379,4.983545,2.446695,2.358422,5.179753,7.623095,0.068391,2.502307,3.287241,2.543853,7.88173,0.218274,5.049301,0.568714,0.740121,0.284385,5.21335,3.928258,0.158442,-0.215336,0.655611,1.906383,0.030475,3.437183,0.024505,0.043632,0.133307,-0.156076,0.053198,2.068063,2.041504,5.011355,0.711609,8
0.017626,0.0128,0.022049,0.022049,0.014855,0.018031,0.012481,0.011643,0.001465,0.004288,0.022049,10.321801,10.583677,0.004984,0.011643,10.752122,0.015137,0.00427,0.022049,1.713497,2.203296,0.009066,0.022049,0.002682,0.913636,-0.421454,3.869154,0.109974,0.767888,0.893117,3.342174,3.553216,4.258844,0.128937,1.247552,0.002527,14.025786,15.946847,27.762371,0.729526,0.332423,12.32837,0.325744,3.907961,0.002012,0.002283,0.757751,10.750868,0.245658,10.708075,1.322319,3.194283,-0.229766,1.309112,0.010452,0.010452,0.337787,2.470051,-0.293797,0.059694,0.007215,10.753156,0.770503,0.070492,0.06317,0.055664,0.691716,0.033116,0.747092,0.747359,0.005585,2.984281,0.005585,0.170415,5.641515,9.787517,2.503897,-0.17603,0.005585,0.005127,0.005585,0.177447,1.787492,0.053766,1.690684,0.923648,5.877421,2.071177,1.935556,6.14601,10.274068,0.075677,2.347071,3.273414,2.431322,10.46875,0.205545,5.131747,0.587761,0.534891,0.276138,5.209298,3.448896,0.141687,-0.110975,0.453767,1.919313,0.010154,3.324748,0.010439,0.008764,0.167349,-0.076767,0.060192,2.116227,2.097421,5.371848,0.755259,8
0.008277,0.008114,0.009293,0.010132,0.008372,0.008564,0.007955,0.007172,0.000841,0.000836,0.009918,8.774124,8.815997,0.000837,0.006836,8.850323,0.009918,0.000729,0.010971,2.183841,1.804349,0.007744,0.010971,0.000985,0.854891,-0.382561,3.945754,0.044928,0.857341,0.853753,1.90077,1.882542,10.449582,0.044386,2.973576,0.000477,6.241234,6.744667,28.227573,0.770458,0.061755,5.807062,0.062756,1.871011,0.000582,0.001055,0.728087,8.019352,0.047993,7.861466,2.801341,9.817669,-0.221156,2.896997,0.00676,0.00676,0.061608,8.897115,-0.356431,0.023377,0.005393,7.75,0.865916,0.027684,0.052441,0.055568,0.618906,0.007075,0.536388,0.716717,0.005951,2.730555,0.005951,0.017628,7.454717,10.248374,2.32235,-0.141183,0.006088,0.004595,0.006088,0.01748,2.427067,0.032428,0.731949,0.801071,7.689345,2.494464,2.464632,7.945065,10.404281,0.093554,2.264234,3.001341,2.294757,10.482741,0.104637,1.913987,0.67113,0.726611,0.147269,1.964573,1.57124,0.072846,-0.200121,0.617592,2.190153,0.007448,3.147813,0.005034,0.005358,0.017977,-0.1275,0.071871,1.052713,2.299467,1.934795,0.723792,3
0.008291,0.008113,0.009491,0.010864,0.008127,0.008154,0.007955,0.006668,0.000783,0.00092,0.010727,8.854095,8.897047,0.001111,0.006668,8.911093,0.010727,0.001022,0.010803,1.862593,1.475792,0.007729,0.010864,0.001338,0.851782,-0.38397,3.301183,0.148452,0.811757,0.858244,1.905003,1.907359,8.728066,0.142469,2.752594,0.000571,5.96582,6.95482,23.818509,0.762666,0.191843,5.020182,0.182106,1.928129,0.000492,0.00084,0.705863,6.937347,0.088538,6.800602,2.461344,7.638946,-0.199389,2.60794,0.006012,0.006012,0.102142,6.30771,-0.304118,0.045958,0.004939,6.729976,0.810954,0.049171,0.048533,0.049711,0.557163,0.026325,0.573591,0.66385,0.005524,2.780046,0.005524,0.041894,7.01915,10.494229,2.351392,-0.107786,0.005615,0.00423,0.005615,0.039839,2.27495,0.033492,0.833867,0.826424,7.276074,2.380581,2.346635,7.558092,10.651242,0.08529,2.210588,3.04693,2.294796,10.707486,0.107115,1.907262,0.63654,0.624071,0.155639,1.940765,2.076581,0.070893,-0.137795,0.487064,2.182639,0.009315,3.154225,0.004938,0.010935,0.022568,-0.074501,0.064614,1.272814,2.307964,1.966222,0.70065,3
0.009442,0.009103,0.010819,0.011154,0.009271,0.009447,0.008851,0.00795,0.000873,0.00086,0.010651,8.009384,8.060752,0.000924,0.007507,8.090517,0.010605,0.000789,0.012589,1.840848,1.491875,0.008444,0.012589,0.000905,0.814323,-0.33758,3.292393,0.239767,0.80015,0.811823,1.243665,1.262528,7.367069,0.221468,1.918776,0.000568,4.493259,5.141153,20.40087,0.774038,0.047962,4.068315,0.05563,1.334052,0.000807,0.001232,0.618358,7.271907,0.115795,7.148112,2.020152,6.556778,-0.150792,1.986876,0.007156,0.007156,0.049756,5.992981,-0.302715,0.069655,0.00563,7.096128,0.810748,0.065362,0.050287,0.062066,0.486403,0.060123,0.542589,0.611414,0.006744,2.584674,0.006744,0.023051,6.974976,10.500683,2.181905,-0.084233,0.006744,0.004629,0.006744,0.02577,2.196421,0.032833,0.706116,0.810272,7.255465,2.304954,2.253229,7.559806,10.745954,0.112904,2.07166,2.85097,2.13175,10.824748,0.122118,2.792137,0.65595,0.608087,0.17601,2.873497,1.621767,0.082226,-0.136247,0.521092,2.137427,0.008562,2.950144,0.005611,0.012116,0.033791,-0.091916,0.086622,1.137519,2.306524,2.833961,0.722096,3
0.010147,0.009566,0.012909,0.012909,0.010551,0.011537,0.009411,0.006912,0.001648,0.002065,0.012909,9.286219,9.415303,0.001865,0.006912,9.519082,0.011749,0.001939,0.015473,1.907363,1.532189,0.008871,0.015473,0.00175,0.932282,-0.531627,3.40679,0.153572,0.908622,0.928061,2.352307,2.448642,8.964796,0.108743,2.156557,0.001807,9.610109,10.260835,21.293187,0.824129,0.010344,9.082047,0.057496,2.590014,0.000951,0.00146,0.858111,10.170323,0.054825,10.034946,2.292549,8.163832,-0.360088,2.185338,0.008194,0.008194,0.046876,7.577803,-0.477806,0.079703,0.006114,9.86174,0.907,0.059181,0.039289,0.053594,0.795724,0.048543,0.361434,0.855112,0.005463,2.713665,0.005463,0.083877,6.441191,9.664153,2.456712,-0.271565,0.005463,0.004857,0.005463,0.115361,2.293499,0.031413,0.556859,0.66905,6.642744,2.431631,2.379549,6.86615,9.898925,0.094581,2.435921,3.005206,2.465394,10.016166,0.150014,2.366157,0.709604,0.819756,0.200104,2.395726,1.191648,0.107842,-0.306627,0.766539,2.08562,0.010336,3.148638,0.005917,0.011438,0.08228,-0.24392,0.068765,0.759367,2.206168,2.526393,0.800452,4
0.009795,0.009107,0.011154,0.011353,0.009937,0.010926,0.008987,0.007736,0.001054,0.001473,0.011048,9.045411,9.21066,0.00135,0.007736,9.35503,0.010651,0.001196,0.013886,1.767819,1.439811,0.008418,0.013886,0.001336,0.896924,-0.452392,3.172549,0.122935,0.815828,0.896467,2.043631,2.130065,6.609218,0.118749,1.652377,0.00086,7.557145,8.50851,22.814145,0.783157,0.110088,6.549048,0.102956,2.23905,0.000847,0.001396,0.77988,9.936881,0.077288,9.774704,1.726141,5.474369,-0.262493,1.633547,0.00798,0.00798,0.094466,4.359877,-0.315072,0.049262,0.00607,9.56357,0.806817,0.05457,0.021091,0.022088,0.64663,0.027298,0.462518,0.756174,0.006104,2.77833,0.006104,0.087949,6.341182,9.744681,2.430926,-0.152243,0.006104,0.004743,0.006104,0.081533,2.134729,0.011561,0.764401,0.737022,6.585787,2.342721,2.251169,6.859064,9.963298,0.088451,2.320322,3.086226,2.393547,10.058787,0.141219,2.402764,0.653655,0.578048,0.19933,2.50414,1.859064,0.092779,-0.116647,0.419004,2.104709,0.008379,3.25928,0.008795,0.007821,0.080124,-0.054853,0.066142,1.050254,2.259949,2.37887,0.712351,4
