@relation HK2.arff-weka.filters.unsupervised.instance.Normalize-N1.0-L2.0

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute feature6 numeric
@attribute feature7 numeric
@attribute feature8 numeric
@attribute feature9 numeric
@attribute feature10 numeric
@attribute feature11 numeric
@attribute feature12 numeric
@attribute feature13 numeric
@attribute feature14 numeric
@attribute feature15 numeric
@attribute feature16 numeric
@attribute feature17 numeric
@attribute feature18 numeric
@attribute feature19 numeric
@attribute feature20 numeric
@attribute feature21 numeric
@attribute feature22 numeric
@attribute feature23 numeric
@attribute feature24 numeric
@attribute feature25 numeric
@attribute CLASS {WildType,HitMain1,HitMain2,Mitotic,NO_TET,Garbage}

@data
0.000426,0.000008,0.000426,0.000007,0.000656,0.000162,0.000328,0.000025,0.000511,0.000206,0.004385,0.284809,0.00674,0.151798,0.043059,0.792816,0.330425,0.186464,0.302109,0.11213,0.131376,-0.001041,0.017643,0.000212,0.000054,NO_TET
0.000426,0.000008,0.000426,0.000007,0.000656,0.000162,0.000328,0.000025,0.000511,0.000206,0.004385,0.284809,0.00674,0.151798,0.043059,0.792816,0.330425,0.186464,0.302109,0.11213,0.131376,-0.001041,0.017643,0.000212,0.000054,NO_TET
0.000882,0.000215,0.000916,0.000182,0.000552,0.000111,0.000283,0.000022,0.000402,0.000156,0.007164,0.051195,0.064808,0.155106,0.059232,0.783041,0.512509,0.180212,0.215791,0.030125,0.06904,-0.027058,0.065501,0.001034,0.000893,WildType
0.000651,0.000093,0.000652,0.000074,0.000451,0.000063,0.000284,0.000016,0.00036,0.000096,0.004987,0.095882,0.056301,0.160927,0.052638,0.77506,0.49483,0.189827,0.253904,0.042538,0.086896,-0.015398,0.057168,0.000261,0.000522,WildType
0.00072,0.000107,0.000772,0.000101,0.000478,0.000072,0.000286,0.00002,0.000386,0.000112,0.006817,0.04694,0.063364,0.124455,0.058205,0.835431,0.437684,0.176283,0.211714,0.024775,0.064024,-0.025951,0.063711,0.000373,0.000617,WildType
0.000812,0.000094,0.000799,0.000076,0.000469,0.000051,0.000315,0.00002,0.000392,0.000088,0.00586,0.118549,0.060121,0.188539,0.057893,0.673483,0.592195,0.208084,0.279567,0.059603,0.100297,-0.016351,0.06153,0.000928,0.00072,WildType
0.000356,0.000039,0.000442,0.000129,0.000357,0.000059,0.000229,0.000011,0.000296,0.000078,0.005217,0.064522,0.058296,0.230071,0.047544,0.417186,0.827294,0.166802,0.201926,0.034887,0.068866,-0.026216,0.059262,0.000771,0.000775,HitMain2
0.000403,0.000018,0.000452,0.000072,0.0004,0.000071,0.000252,0.000011,0.000326,0.000091,0.005153,0.068658,0.061256,0.217853,0.050385,0.464492,0.79679,0.177931,0.219917,0.035937,0.072527,-0.024223,0.060988,0.001035,0.000261,HitMain2
0.000433,0.000028,0.00048,0.000068,0.000481,0.000092,0.000279,0.000015,0.000385,0.000123,0.009873,0.049672,0.071802,0.20167,0.062851,0.534335,0.753281,0.185577,0.220104,0.030057,0.070177,-0.032469,0.070311,0.000289,0.000471,HitMain2
0.000447,0.000043,0.000536,0.00013,0.000478,0.000095,0.000252,0.000021,0.000359,0.000133,0.004383,0.070025,0.059259,0.221198,0.047886,0.465394,0.796628,0.175211,0.218908,0.035188,0.071735,-0.023675,0.059745,0.001403,0.00033,HitMain2
