%
@relation HK2_Normalized.arff

@attribute feature1 REAL
@attribute feature2 REAL
@attribute feature3 REAL
@attribute feature4 REAL
@attribute feature5 REAL
@attribute feature6 REAL
@attribute feature7 REAL
@attribute feature8 REAL
@attribute feature9 REAL
@attribute feature10 REAL
@attribute feature11 REAL
@attribute feature12 REAL
@attribute feature13 REAL
@attribute feature14 REAL
@attribute feature15 REAL
@attribute feature16 REAL
@attribute feature17 REAL
@attribute feature18 REAL
@attribute feature19 REAL
@attribute feature20 REAL
@attribute feature21 REAL
@attribute feature22 REAL
@attribute feature23 REAL
@attribute feature24 REAL
@attribute feature25 REAL
@attribute class {WildType,HitMain1,HitMain2,Mitotic,NO_TET,Garbage}

@data
-1.1353,-1.4426,-1.3743,-1.7446,1.1063,1.2049,0.60117,0.23773,1.2702,1.2673,-1.1052,7.2934,-3.4296,-0.69202,-1.6488,0.78677,-1.3435,-0.25714,1.4903,6.3862,3.5387,2.5959,-2.9144,-1.0831,-1.4414,NO_TET
-1.1353,-1.4426,-1.3743,-1.7446,1.1063,1.2049,0.60117,0.23773,1.2702,1.2673,-1.1052,7.2934,-3.4296,-0.69202,-1.6488,0.78677,-1.3435,-0.25714,1.4903,6.3862,3.5387,2.5959,-2.9144,-1.0831,-1.4414,NO_TET
1.5492,2.2032,1.5594,1.1707,0.92235,0.43091,0.55038,0.35113,0.58113,0.73382,0.3476,-0.56583,0.53517,-0.32314,0.87139,1.4531,-0.43408,0.37554,0.17227,-0.27875,0.01126,-0.41486,0.58677,0.96343,0.92051,WildType
0.15514,-0.025396,-0.048013,-0.69026,-0.45369,-0.89967,0.16831,-0.68078,-0.42962,-0.82567,-0.71013,1.0197,-0.24032,-0.36774,-0.21468,1.1051,-0.6124,0.35545,0.86746,0.72587,1.0456,1.0227,-0.20882,-0.93105,-0.19318,WildType
0.69573,0.3063,0.78523,-0.17158,0.11099,-0.56855,0.64092,-0.03442,0.31541,-0.31451,0.19621,-0.73714,0.43648,-0.8077,0.75046,1.8184,-0.73616,0.23811,0.054217,-0.81039,-0.38404,-0.28622,0.46023,-0.62875,0.14722,WildType
0.64517,-0.1186,0.38929,-0.7463,-0.63246,-1.2816,0.3472,-0.38595,-0.40878,-1.1472,-0.53657,1.5353,-0.29027,-0.17098,-0.12517,0.088463,-0.41413,0.431,0.98178,1.8993,1.47,1.0553,-0.23195,0.42477,0.18404,WildType
-0.9211,-0.77513,-0.62208,0.6286,-0.61442,-0.66809,0.033597,-1.123,-0.4192,-0.82567,-0.147,0.36706,0.70085,1.4194,0.36797,-0.66254,1.3472,0.79783,0.6617,0.72653,0.82926,-0.78264,0.78807,0.61616,0.92182,HitMain2
-0.79654,-1.2274,-0.74365,-0.56124,-0.39782,-0.43651,0.23898,-1.123,-0.25248,-0.63607,-0.34745,0.3505,0.61947,0.93713,0.30726,-0.52568,0.96297,0.77737,0.77966,0.57742,0.73107,-0.30728,0.60571,1.1614,-0.78695,HitMain2
-0.89644,-1.0945,-0.88969,-0.76063,-0.075517,-0.16024,0.11752,-0.87356,0.034072,-0.17882,1.3406,-0.71009,0.80384,0.27896,0.98607,-0.44791,0.40915,0.29354,0.033707,-0.41001,-0.12937,-0.88162,0.71747,-0.86058,-0.3122,HitMain2
-0.47054,-0.72579,-0.16029,0.53998,0.69372,0.28668,0.48191,0.46453,0.54075,0.54608,-0.64435,0.50202,0.60575,1.1089,0.1781,-0.41148,1.0678,0.87472,0.9533,0.61219,0.84916,-0.3289,0.64927,2.2272,-0.54848,HitMain2
