%
@relation Huotari500_Normalized.arff

@attribute feature1 REAL
@attribute feature2 REAL
@attribute feature3 REAL
@attribute feature4 REAL
@attribute feature5 REAL
@attribute feature6 REAL
@attribute feature7 REAL
@attribute feature8 REAL
@attribute feature9 REAL
@attribute feature10 REAL
@attribute feature11 REAL
@attribute feature12 REAL
@attribute feature13 REAL
@attribute feature14 REAL
@attribute feature15 REAL
@attribute feature16 REAL
@attribute feature17 REAL
@attribute feature18 REAL
@attribute feature19 REAL
@attribute feature20 REAL
@attribute feature21 REAL
@attribute feature22 REAL
@attribute feature23 REAL
@attribute feature24 REAL
@attribute feature25 REAL
@attribute class {1,2,3,4}

@data
-1.2152,-1.247,-0.82845,-0.72567,1.1921,-0.38011,1.9433,1.0376,1.6172,0.41686,-0.27615,-0.41232,-0.52185,-0.90005,-0.06562,-0.43131,-0.89463,-0.23352,-0.16517,-0.52672,-0.077232,0.87532,-0.57377,0.61064,-0.4877,1
-0.45667,-1.0431,0.25408,0.36877,0.86145,-0.37527,2.2345,0.73417,1.8098,0.17669,2.3002,-1.8028,-1.0606,-1.6173,1.8713,-1.8474,-1.522,-2.2462,-2.199,-1.8922,-1.9699,1.0118,-1.7436,0.9903,1.1073,2
-0.92324,-1.481,-0.47563,-0.24637,0.51085,-0.4186,2.2333,0.48456,1.2044,-0.073962,-0.5013,0.79355,-0.13475,-0.067984,-0.51331,-0.63279,-0.15097,0.14959,0.32953,1.1967,1.0488,0.52962,-0.063938,-0.98351,0.098696,1
0.44499,1.0442,-0.19337,-0.32593,-1.3334,-0.61983,-0.5491,1.3786,-0.92011,-0.94191,0.50846,-0.63163,-1.1193,-1.1412,0.85788,-1.3297,-1.1659,-1.0622,-1.0487,-0.14086,-0.45894,0.85656,-0.94192,0.68071,0.28212,1
-0.31927,0.25157,-1.0369,-0.89255,1.5568,0.47729,2.7575,0.54655,2.1133,0.91915,4.4973,-1.9819,-0.83922,-1.6262,2.4593,-2.0399,-1.5592,-3.1355,-2.9674,-2.0366,-2.6551,1.1564,-2.3611,0.33443,-0.58149,1
0.12154,0.48182,-0.16129,-0.47729,0.61124,1.0448,-1.2313,-0.80105,0.50032,1.0381,-0.43866,-0.75759,0.58002,-0.62112,0.29427,0.61356,-0.46293,0.22728,0.093375,-0.85441,-0.38312,-0.26275,0.49098,-0.67617,-0.19142,1
-2.5462,-2.3907,-2.4579,-1.8201,-4.3482,-2.6927,-3.1782,-2.8486,-4.4658,-3.6522,4.8936,-0.21421,0.10961,-0.48,2.3212,-1.8339,-0.47246,-2.8447,-2.685,1.6397,-1.9646,-0.54966,-1.0156,3.0252,8.3356,4
-2.406,-0.33727,-1.6993,-0.58013,-1.6351,-0.77661,-1.7698,-0.47802,-1.8258,-1.1722,-0.72241,-0.47213,2.0506,2.9956,-0.33708,0.78401,3.2578,1.2117,0.48915,-0.91283,-0.16915,-3.3381,1.9914,-0.85583,-1.2074,1
0.70547,1.0216,2.1577,2.9341,0.51324,0.07139,0.27102,-0.13378,0.12045,0.23731,-1.0789,0.64819,1.318,2.1616,-1.0318,1.3809,2.1424,1.5439,1.4656,0.30066,0.89312,-0.84065,1.2832,-0.30933,0.67546,2
1.2894,0.50069,1.011,0.31249,-1.3237,-1.2218,-1.1648,-1.3297,-1.1834,-1.2623,-0.71288,0.23565,0.17356,-0.13558,-0.50159,-0.010781,-0.18346,0.46184,0.54789,0.20068,0.59418,0.36205,0.16812,-1.2856,-0.70001,2
0.07574,-0.35615,0.50586,0.87718,1.1158,-0.052603,1.7377,0.79291,0.79307,0.40965,-1.0024,2.6863,-0.2824,0.84527,-1.5834,0.51737,0.56973,0.94957,1.3483,2.9987,2.1381,0.85182,-9.9793e-06,2.4113,0.018126,2
-0.3021,-1.0394,-0.86053,-0.99346,0.078722,-0.53062,1.1006,0.035899,0.001118,-0.36033,7.1541,-2.1978,-4.1898,-1.8894,3.4428,-2.2072,-1.7715,-4.4398,-4.1262,-2.283,-4.7954,2.715,-4.6328,-0.85189,-0.057911,1
1.2923,-0.020204,2.5474,2.6062,0.28796,-0.074551,-0.095064,0.027742,0.38297,0.18226,-1.057,-0.097797,1.6377,2.1111,-0.79898,1.4228,2.477,1.6273,1.29,-0.72947,0.080684,-1.6674,1.626,0.49859,-0.27551,2
4.8989,8.2236,3.4038,3.6676,0.23592,2.6644,-1.5,-1.1388,-0.58161,1.5224,-0.46008,-1.2313,1.8336,0.71673,0.85245,0.56402,1.1794,0.87401,0.27051,-1.336,-0.8937,-2.8134,1.7766,-0.39729,1.1569,3
1.7932,1.433,0.60369,-0.44818,0.59671,0.87977,-1.1624,-0.82716,0.64033,0.95945,-0.40591,-0.63356,0.57015,-0.63637,0.11176,1.583,-0.43238,0.2551,0.093702,-0.78255,-0.2912,-0.31589,0.55122,-1.4862,-0.39611,1
-0.024445,-0.89214,0.36794,0.19606,0.69732,0.61924,-1.0328,-0.11583,0.30422,0.81168,-1.1087,0.21241,1.6322,2.701,-1.0319,1.8256,2.9682,1.6771,1.4935,-0.4549,0.36355,-1.2708,1.5021,-0.71075,-1.1668,1
-1.0721,-1.4395,-1.2278,-1.4417,0.6429,-0.020963,1.0578,4.2582,0.98161,0.41489,-0.97572,1.9259,-0.20429,0.55947,-1.6043,0.71199,0.27601,0.85863,1.2415,1.7281,1.5746,1.0683,-0.24643,-1.2808,-1.346,1
-1.0292,-1.2621,-0.23507,0.093217,1.1834,0.27976,0.18663,0.34751,0.96411,0.83297,-1.037,-0.024136,1.47,1.7737,-0.68023,1.4181,1.8739,1.4232,1.2347,-0.45514,0.14187,-1.1395,1.3673,-1.3656,-1.0776,2
-0.80589,-1.0205,-1.0305,-1.0187,-1.0947,-1.1791,0.11531,-0.74069,-0.92091,-1.2456,0.29924,-0.17403,-1.6914,-1.1182,0.34047,-1.3658,-1.172,-0.99902,-0.77436,0.29772,0.21818,1.607,-1.6399,-0.43257,-0.67364,1
0.23604,-0.016429,2.1641,2.6954,-1.7246,-1.3099,-1.2456,-1.4014,-1.6333,-1.5523,-1.1277,2.0251,0.43011,1.3916,-2.0274,1.0133,1.1724,1.2083,1.5787,1.207,1.6229,0.65316,0.26182,1.5006,0.71354,2
-0.87745,-0.91101,-0.54299,-0.37638,-1.9362,-1.0246,-1.3443,-1.6152,-1.7272,-1.5035,0.19527,-1.0778,0.040894,-1.022,0.90176,-1.0397,-0.95948,-0.61042,-0.73405,-0.9965,-0.72723,-0.4263,0.1951,-1.1684,2.6057,2
1.2379,-0.75626,0.93086,0.019478,-0.75193,-0.77974,-0.26622,0.58734,-0.51479,-0.75449,-0.86497,1.1765,0.13822,0.40951,-0.91824,0.38584,0.28947,0.72838,0.91303,1.3742,1.3107,0.16297,0.45883,-0.90097,-0.34532,3
0.35626,-0.48826,0.40322,-0.128,0.12577,-0.21308,2.4461,4.5502,1.2799,-0.082481,-0.77579,2.3701,-1.0461,0.030815,-1.2806,0.050131,-0.17945,0.47455,0.85528,2.9427,1.9364,1.1916,-0.52082,-0.37905,0.05155,1
-1.1637,-1.9906,-1.1909,-1.401,-0.61598,-0.79656,-1.2397,-0.76516,-0.79839,-0.62704,-0.9441,0.19852,0.9632,0.7602,-0.70381,1.0514,0.7836,1.0997,1.0784,-0.099391,0.53797,-0.32189,0.85426,-1.309,-1.2569,1
-0.053069,-1.1035,-0.48846,-0.91196,-1.0934,-1.1406,0.45049,-0.1452,-0.2634,-1.2132,-0.057949,0.9244,-2.2488,-0.89202,-0.33433,-1.1976,-1.053,-0.70074,-0.40817,1.6804,0.95199,1.9393,-1.9664,-0.13242,1.7704,1
-1.4986,-0.20139,-1.3304,-0.85568,-1.5034,-1.6731,-0.48729,1.2709,-1.7646,-1.6025,-0.81567,0.62623,0.19181,0.16323,-1.2944,1.125,-0.063564,0.65602,0.75704,-0.057524,0.6608,0.42784,0.24262,-1.1604,-1.0988,1
2.068,-0.43164,1.3767,-0.14934,-0.05831,-0.046617,1.191,0.72275,1.0345,-0.060856,0.023696,-1.2473,0.49879,-0.91853,1.1545,-0.81469,-0.82807,-0.39367,-0.62308,-1.1601,-1.0098,-1.0525,0.6285,1.0059,-0.18626,1
0.15589,-0.14099,-0.75949,-1.0711,-1.1734,-0.96046,-1.0851,-1.2301,-1.1651,-1.0694,0.34389,-0.33097,-1.7911,-1.2702,0.49273,-1.3308,-1.2359,-1.0542,-0.92312,0.14462,-0.11751,1.6787,-1.7678,0.76888,0.064391,1
