@relation 'Huotari500_noclass4'
@attribute 'feature1' real
@attribute 'feature2' real
@attribute 'feature3' real
@attribute 'feature4' real
@attribute 'feature5' real
@attribute 'feature6' real
@attribute 'feature7' real
@attribute 'feature8' real
@attribute 'feature9' real
@attribute 'feature10' real
@attribute 'feature11' real
@attribute 'feature12' real
@attribute 'feature13' real
@attribute 'feature14' real
@attribute 'feature15' real
@attribute 'feature16' real
@attribute 'feature17' real
@attribute 'feature18' real
@attribute 'feature19' real
@attribute 'feature20' real
@attribute 'feature21' real
@attribute 'feature22' real
@attribute 'feature23' real
@attribute 'feature24' real
@attribute 'feature25' real
@attribute class {1 2 3 4}
@data
0.002920,0.000393,0.003510,0.000833,0.027843,0.008461,0.006386,0.002467,0.017425,0.012644,0.136546,0.734161,0.544384,0.797943,0.736273,4.783148,2.487920,1.830162,2.337275,0.420092,0.899148,-0.165340,0.587360,0.031750,0.016679,1
0.003185,0.000447,0.004185,0.001397,0.026318,0.008478,0.006631,0.002281,0.017909,0.011911,0.409089,0.307772,0.464596,0.287220,0.869048,2.615337,0.841906,1.049426,1.253858,0.235458,0.617621,-0.154172,0.434875,0.037141,0.042019,2
0.003022,0.000331,0.003730,0.001080,0.024701,0.008326,0.006630,0.002128,0.016387,0.011146,0.112728,1.103941,0.601710,1.390429,0.705584,4.474712,4.439106,1.978771,2.600796,0.653118,1.066641,-0.193619,0.653816,0.009114,0.025995,1
0.003500,0.001000,0.003906,0.001039,0.016195,0.007620,0.004289,0.002676,0.011046,0.008497,0.219548,0.666911,0.455900,0.626252,0.799578,3.407842,1.776135,1.508722,1.866625,0.472265,0.842369,-0.166875,0.539372,0.032745,0.028909,1
0.003233,0.000790,0.003380,0.000747,0.029525,0.011469,0.007071,0.002166,0.018672,0.014177,0.641513,0.252857,0.497385,0.280864,0.909354,2.320714,0.744285,0.704464,0.844529,0.215938,0.515691,-0.142343,0.354382,0.027828,0.015189,1
0.003387,0.000851,0.003926,0.000961,0.025164,0.013460,0.003715,0.001340,0.014617,0.014540,0.119355,0.628286,0.707562,0.996562,0.760943,6.382695,3.620599,2.008907,2.475000,0.375784,0.853647,-0.258437,0.726149,0.013478,0.021386,1
0.002455,0.000090,0.002494,0.000269,0.002291,0.000348,0.002077,0.000085,0.002132,0.000225,0.683440,0.794913,0.637899,1.097045,0.899886,2.635930,3.595593,0.817268,0.994959,0.713020,0.618408,-0.281907,0.529768,0.066035,0.156853,4
0.002504,0.000634,0.002967,0.000908,0.014804,0.007070,0.003262,0.001538,0.008769,0.007794,0.089338,0.715822,0.925345,3.571903,0.717665,6.643625,13.382982,2.390751,2.685825,0.367885,0.885475,-0.510007,0.921728,0.010927,0.005245,1
0.003591,0.000994,0.005372,0.002719,0.024712,0.010045,0.004979,0.001749,0.013662,0.012096,0.051631,1.059366,0.816858,2.978037,0.670039,7.557349,10.456509,2.519629,3.206000,0.531964,1.043488,-0.305711,0.829408,0.018687,0.035158,2
0.003795,0.000856,0.004657,0.001368,0.016240,0.005508,0.003771,0.001016,0.010384,0.007519,0.090346,0.932862,0.647369,1.342296,0.706388,5.426919,4.353879,2.099895,2.717116,0.518446,0.999020,-0.207327,0.684064,0.004825,0.013306,2
0.003371,0.000629,0.004342,0.001659,0.027491,0.009610,0.006213,0.002317,0.015353,0.012622,0.059721,1.684347,0.579845,2.040725,0.632230,6.235446,6.330076,2.289089,3.143472,0.896777,1.228685,-0.167262,0.662149,0.057318,0.024715,2
0.003239,0.000448,0.003490,0.000695,0.022708,0.007933,0.005677,0.001853,0.013362,0.010272,0.922566,0.186636,0.001193,0.093429,0.976774,2.064516,0.187082,0.198540,0.227281,0.182621,0.197325,-0.014853,0.058269,0.010983,0.023507,1
0.003796,0.000718,0.005615,0.002550,0.023673,0.009533,0.004671,0.001848,0.014322,0.011928,0.053939,0.830610,0.864196,2.942084,0.686002,7.621460,11.334376,2.551985,3.112421,0.392678,0.922638,-0.373342,0.874092,0.030159,0.020050,2
0.005056,0.002902,0.006149,0.003097,0.023433,0.019142,0.003489,0.001133,0.011897,0.016018,0.117089,0.483032,0.893206,1.949195,0.799206,6.306859,7.929664,2.259778,2.569358,0.310673,0.777698,-0.467084,0.893732,0.017438,0.042807,3
0.003971,0.001103,0.004403,0.000976,0.025097,0.012881,0.003773,0.001324,0.014969,0.014300,0.122819,0.666319,0.706100,0.985699,0.748432,7.866736,3.700752,2.019700,2.475174,0.385500,0.867320,-0.262784,0.734002,0.001976,0.018134,1
0.003336,0.000487,0.004256,0.001308,0.025561,0.011967,0.003882,0.001760,0.014124,0.013849,0.048471,0.925736,0.863378,3.362128,0.670038,8.238156,12.623179,2.571290,3.220855,0.429803,0.964714,-0.340898,0.857943,0.012987,0.005890,1
0.002970,0.000342,0.003261,0.000464,0.025310,0.009721,0.005641,0.004441,0.015827,0.012638,0.062541,1.451186,0.591412,1.837220,0.630798,6.533370,5.559422,2.253811,3.086577,0.724977,1.144855,-0.149550,0.630029,0.004893,0.003043,1
0.002985,0.000389,0.003880,0.001255,0.027803,0.010776,0.004908,0.002044,0.015783,0.013914,0.056061,0.853198,0.839365,2.701817,0.694142,7.614358,9.751879,2.472794,3.082981,0.429771,0.931740,-0.330155,0.840381,0.003688,0.007308,2
0.003063,0.000453,0.003384,0.000682,0.017296,0.005658,0.004848,0.001377,0.011044,0.007570,0.197415,0.807234,0.371184,0.642617,0.764110,3.352544,1.760053,1.533220,2.012763,0.531567,0.943090,-0.105487,0.448392,0.016937,0.013725,1
0.003427,0.000719,0.005376,0.002596,0.014391,0.005199,0.003703,0.000972,0.009253,0.006634,0.046464,1.481600,0.685361,2.429766,0.601794,6.994560,7.911330,2.389462,3.266214,0.654519,1.152043,-0.183513,0.696278,0.044387,0.035763,2
0.003038,0.000482,0.003688,0.001013,0.013415,0.006200,0.003620,0.000841,0.009017,0.006783,0.186416,0.530103,0.627722,0.711112,0.802586,3.851777,2.317766,1.683962,2.034236,0.356572,0.802461,-0.271816,0.687581,0.006488,0.065824,2
0.003777,0.000523,0.004607,0.001217,0.018877,0.007059,0.004527,0.002191,0.012065,0.009069,0.074257,1.221364,0.642135,1.730438,0.677827,6.034091,5.594747,2.203287,2.911624,0.677122,1.105609,-0.223612,0.721959,0.010286,0.018941,3
0.003469,0.000594,0.004278,0.001141,0.022925,0.009047,0.006809,0.004620,0.016577,0.011120,0.083691,1.587384,0.466747,1.460780,0.652985,5.520166,4.364381,2.104828,2.880860,0.889200,1.198678,-0.139470,0.594262,0.017697,0.025246,1
0.002938,0.000196,0.003284,0.000485,0.019504,0.007000,0.003708,0.001362,0.011352,0.009458,0.065886,0.921476,0.764308,1.980154,0.692526,7.052980,6.891233,2.347306,2.999730,0.477872,0.990659,-0.263275,0.773502,0.004492,0.004459,1
0.003326,0.000431,0.003722,0.000737,0.017302,0.005793,0.005130,0.001742,0.012697,0.007669,0.159629,1.144065,0.288643,0.803663,0.717853,3.610070,2.072504,1.648924,2.207830,0.718525,1.052245,-0.078301,0.405831,0.021199,0.052553,1
0.002821,0.000670,0.003197,0.000766,0.015411,0.003925,0.004341,0.002610,0.008923,0.006481,0.079472,1.052632,0.650071,1.555070,0.652044,7.165692,4.668453,2.175219,2.828527,0.483533,1.008930,-0.201945,0.693776,0.006602,0.006970,1
0.004067,0.000609,0.004885,0.001130,0.022076,0.009631,0.005753,0.002274,0.015960,0.011186,0.168266,0.478117,0.695532,0.784783,0.819909,4.196256,2.662557,1.768038,2.093347,0.334457,0.760429,-0.323037,0.744075,0.037363,0.021468,1
0.003399,0.000686,0.003553,0.000655,0.016933,0.006425,0.003838,0.001077,0.010430,0.008108,0.202138,0.759107,0.356416,0.534348,0.774547,3.406189,1.592551,1.511831,1.933519,0.510866,0.893156,-0.099624,0.431718,0.033997,0.025450,1
0.002950,0.000328,0.003255,0.000549,0.019368,0.005870,0.006930,0.002794,0.014571,0.007941,0.235938,0.834343,0.295677,0.590953,0.753296,3.070502,1.534389,1.406208,1.864564,0.534975,0.952892,-0.060174,0.331446,0.021479,0.023927,1
0.003290,0.001006,0.003794,0.001052,0.020090,0.010162,0.003360,0.001090,0.011107,0.010973,0.222400,0.448042,0.683812,0.698619,0.824947,5.683551,2.384455,1.729029,2.003651,0.314426,0.726830,-0.307423,0.719405,0.017026,0.010049,1
0.003374,0.000701,0.004847,0.002242,0.020411,0.010097,0.004237,0.001237,0.012190,0.010888,0.066376,1.019214,0.774988,2.264426,0.683893,5.840175,8.039958,2.331838,3.001819,0.534701,1.032816,-0.270582,0.780452,0.024807,0.034022,2
0.003381,0.001130,0.004541,0.002446,0.032092,0.019589,0.004643,0.001985,0.014503,0.017967,0.097080,1.450783,0.744646,2.825278,0.647052,5.278524,9.655087,2.265825,2.900480,0.767479,1.163243,-0.297731,0.803154,0.003629,0.018301,1
