%
@relation Meier500_Normalized.arff

@attribute feature1 REAL
@attribute feature2 REAL
@attribute feature3 REAL
@attribute feature4 REAL
@attribute feature5 REAL
@attribute feature6 REAL
@attribute feature7 REAL
@attribute feature8 REAL
@attribute feature9 REAL
@attribute feature10 REAL
@attribute feature11 REAL
@attribute feature12 REAL
@attribute feature13 REAL
@attribute feature14 REAL
@attribute feature15 REAL
@attribute feature16 REAL
@attribute feature17 REAL
@attribute feature18 REAL
@attribute feature19 REAL
@attribute feature20 REAL
@attribute feature21 REAL
@attribute feature22 REAL
@attribute feature23 REAL
@attribute feature24 REAL
@attribute feature25 REAL
@attribute feature26 REAL
@attribute feature27 REAL
@attribute class {1,2,3,4,5}

@data
-0.8205,-0.69373,-0.7722,-0.68285,-0.79478,-0.69073,0.27438,-0.22847,-0.20954,0.1261,0.074222,0.11068,-0.80209,0.94713,-0.68964,0.4706,-0.84746,0.40556,-0.07699,0.71678,1.1476,1.0627,1.0041,1.1079,-1.2256,-0.90684,-0.58954,1
-0.52864,-0.67154,-0.54475,-0.67686,-0.53948,-0.68222,-1.1491,-0.8881,-1.1942,-1.1851,-1.1752,-1.094,-0.98827,1.8264,-0.51056,2.2131,-1.6141,0.81627,0.96792,1.464,1.4479,1.2615,1.1745,-0.16416,0.83779,-0.29563,-0.47039,5
1.5552,3.3358,0.4404,1.2224,0.70832,1.3101,-0.06948,0.56925,0.31533,0.29965,0.0031982,0.21901,0.205,-2.0749,3.1484,3.7733,2.1203,-1.5116,5.0953,1.6067,-0.87507,-2.3193,-2.4001,-4.3219,2.8027,0.29368,3.5419,3
0.17764,1.6317,0.40486,1.2105,0.35408,1.1059,0.14144,-0.30298,-0.11189,-0.00061706,0.022568,-0.0092783,11.182,-2.0928,0.96926,-3.7712,4.132,-3.4016,-2.3749,-7.6368,-6.2339,-1.57,-4.0203,0.063924,-0.83309,-0.76593,0.20139,2
-0.7057,-0.69373,-0.66984,-0.68484,-0.68468,-0.69498,-1.1354,-0.88746,-1.0355,-1.1824,-1.1343,-1.0933,-0.58637,0.44356,-0.56003,0.31361,-0.463,1.4423,-0.33395,0.30461,0.65149,0.64023,0.67111,0.57948,-0.22239,-0.78927,-0.28515,5
-0.85357,-0.7026,-0.77931,-0.68684,-0.80755,-0.69711,-1.1524,-0.8881,-1.2186,-1.1907,-1.1838,-1.0955,-0.54373,0.094389,-0.10831,-0.035454,-0.19528,0.072068,-0.052231,0.21739,0.33216,0.28676,0.46869,-0.67495,1.1125,-0.67013,-0.62594,5
0.60568,-0.12126,-0.074209,-0.1781,0.10516,-0.17831,1.8611,1.0831,1.0803,1.1619,2.135,1.7887,-0.39161,-1.7958,2.3909,0.6299,1.2135,-0.53055,1.5481,1.6424,-0.11037,-2.2116,-2.034,-1.961,1.9462,-0.67769,-0.25827,3
-0.3905,1.7692,0.88393,3.7442,0.48971,3.2386,-0.46748,-0.60999,-0.12817,-0.19896,-0.29274,-0.49784,14.899,-2.2507,1.9918,-3.8777,4.7601,-3.5129,-2.5561,-9.7551,-7.5199,-1.8824,-5.6004,-0.52796,-1.0692,0.82056,-0.87922,3
-0.80493,-0.68929,-0.74661,-0.68684,-0.77085,-0.69498,-1.1512,-0.88875,-1.2227,-1.1907,-1.1848,-1.0955,-0.61974,0.7672,-0.70548,0.56832,-1.2904,2.035,-0.24782,-0.14143,0.17386,0.086175,0.44022,-0.97079,1.3535,-0.59348,-0.61334,5
1.4248,1.1834,1.2208,1.2923,1.278,1.1272,0.68693,-0.015877,0.69779,0.40433,0.75218,0.47856,0.59567,-1.3262,1.0295,-0.62586,1.5823,-2.255,-0.39366,-0.62613,-1.3659,-0.86459,-1.1477,-0.53716,0.68024,-0.21012,0.32124,2
1.993,0.81067,1.3772,1.1346,1.5556,0.95285,0.32893,-0.17773,0.2665,0.3878,0.39168,0.21392,1.0804,-1.7155,0.97086,-1.2517,1.8944,-1.2187,-1.2341,-0.9957,-1.8666,-1.5884,-1.6376,-0.51948,0.60131,0.29264,-0.27535,2
