%
@relation WildDetailed500_Normalized.arff

@attribute feature1 REAL
@attribute feature2 REAL
@attribute feature3 REAL
@attribute feature4 REAL
@attribute feature5 REAL
@attribute feature6 REAL
@attribute feature7 REAL
@attribute feature8 REAL
@attribute feature9 REAL
@attribute feature10 REAL
@attribute feature11 REAL
@attribute feature12 REAL
@attribute feature13 REAL
@attribute feature14 REAL
@attribute feature15 REAL
@attribute feature16 REAL
@attribute feature17 REAL
@attribute feature18 REAL
@attribute feature19 REAL
@attribute feature20 REAL
@attribute feature21 REAL
@attribute feature22 REAL
@attribute feature23 REAL
@attribute feature24 REAL
@attribute feature25 REAL
@attribute class {1,2,3,4,5,6,7,8,9,10}

@data
-2.5186,-1.478,-2.6707,-1.5717,-3.9809,-1.8629,-5.1,-2.5729,-4.6348,-2.2965,-2.4059,-2.2434,-2.9305,-2.4863,-4.4475,-3.293,-2.2186,-4.3865,-4.4012,-2.7268,-4.1558,2.1544,-3.0355,-1.3713,-1.3553,10
0.99423,0.067209,0.71692,-0.13494,0.16343,-0.47976,0.54663,0.28333,0.19527,-0.26058,-0.56684,0.15624,0.62466,0.75084,0.56929,-0.060365,0.59443,0.84225,0.82442,0.55782,0.65297,-0.41572,0.70433,0.42803,-0.22005,1
0.96412,0.69409,0.76153,0.01928,-0.48037,-1.0378,0.35985,-0.56552,-0.2009,-0.97857,-1.0297,1.4787,0.37796,0.9575,-0.02348,-0.0923,1.0146,0.9505,1.2701,1.6465,1.3855,0.29595,0.39166,2.6326,-0.41277,3
1.07,0.0081633,1.187,-0.19845,-0.16495,-0.6635,0.39337,-0.19845,-0.0096834,-0.56373,-0.56609,0.12757,0.51009,0.24182,0.36389,0.84834,0.16201,0.78229,0.82447,0.09749,0.50338,-0.075927,0.53569,-0.3692,-0.22156,4
1.5075,1.6589,1.6393,0.96051,0.40972,-0.10546,0.64881,0.18009,0.51854,0.071291,0.13031,-0.87629,0.90082,-0.0063153,0.96674,1.6131,0.3445,0.76939,0.36358,-0.82337,-0.3972,-1.2794,0.94911,-0.23087,-0.42332,4
1.994,0.87877,1.4245,1.0195,0.41188,-0.30452,0.83719,1.8434,0.73723,-0.035609,0.77564,-0.40589,0.8993,0.78091,0.71418,-0.86556,0.33135,0.35937,-0.014861,-0.27334,0.14112,-1.013,0.82315,1.7602,-0.68537,3
-1.08,-1.3838,-1.2157,-1.4855,-0.11526,-0.73836,0.38858,-0.16403,0.051591,-0.53341,-0.36013,3.1783,-2.1649,-0.94148,-0.55727,0.34959,-1.2949,-0.19841,0.77845,2.9097,2.0347,1.9957,-1.9486,-0.87558,-1.048,9
-0.61485,-1.0408,-0.81734,-1.1113,-0.42132,-0.40149,0.27364,-1.77,-0.13646,-0.66744,-0.20522,-0.11182,0.85568,1.4886,0.53128,-0.16604,1.3478,0.75613,0.68822,-0.027947,0.36527,-0.60092,0.75185,-0.99236,-1.1285,1
0.60076,1.1263,0.68878,0.44567,0.60199,0.58869,0.72224,0.27186,0.51749,0.41114,1.453,-1.0178,0.55331,-1.032,1.1108,0.11247,-0.89806,-0.0025483,-0.29616,-0.91903,-0.53805,-0.66671,0.55976,-0.4637,-0.51996,2
3.6799,2.9705,2.6915,2.953,0.85548,0.21099,0.6967,0.67334,1.014,0.60898,1.7119,-0.33524,0.96777,1.5223,0.88935,-0.78743,0.98265,0.28319,-0.024171,0.1546,0.28226,-1.0946,0.82942,1.3697,0.20891,1
-0.90446,-0.7632,-1.0843,-1.0682,-0.74898,-1.2845,0.28801,-0.70317,-0.4629,-1.2881,0.91866,0.29382,-0.5573,-1.0707,0.31543,-0.6134,-1.2129,-0.37119,-0.012489,0.30596,0.65441,1.1097,-0.54186,-1.2397,-0.14959,9
0.010377,-0.3549,0.10884,-0.35608,0.1303,-0.49677,0.52269,-0.32463,0.30937,-0.28292,0.1323,-0.79442,0.84972,0.068748,0.92974,0.76871,0.27598,0.74409,0.41469,-0.71001,-0.28155,-1.0543,0.86951,-0.20876,0.08985,6
1.7138,2.7192,2.3232,2.6468,1.7787,2.814,0.80047,1.1895,1.3869,2.3337,-0.79578,-0.44249,1.0073,1.4718,0.7355,1.0215,1.8711,1.2559,0.87253,-0.30965,0.064068,-1.3908,1.0509,-0.34765,4.4612,8
-0.8757,-1.3549,-1.0068,-1.4674,0.26785,-0.30962,0.54025,-0.10668,0.33155,-0.10422,-0.67121,4.2559,-2.2898,-0.71937,-0.79836,1.1937,-1.1779,-0.052349,1.0635,3.7613,2.3453,2.0554,-2.152,-0.859,-0.9883,9
-2.5186,-1.478,-2.6707,-1.5717,-3.9809,-1.8629,-5.1,-2.5729,-4.6348,-2.2965,-2.4059,-2.2434,-2.9305,-2.4863,-4.4475,-3.293,-2.2186,-4.3865,-4.4012,-2.7268,-4.1558,2.1544,-3.0355,-1.3713,-1.3553,10
0.53038,0.28329,0.41871,-0.23474,0.056851,-0.58864,0.32153,-0.46228,0.22274,-0.29728,-0.91215,0.36081,0.72312,1.3185,0.33526,0.37967,1.3577,1.1316,1.1702,0.47323,0.72341,-0.40536,0.74358,-0.71256,-0.34269,3
-0.82732,-1.2368,-0.96524,-1.3846,-0.044687,-0.30792,0.31355,-0.63434,-0.013909,-0.32759,0.10023,0.99048,-0.99134,-1.156,-0.047365,0.26095,-1.2109,-0.20588,0.34438,0.72791,0.9987,1.4514,-0.90521,-1.0272,-1.0056,9
-0.23254,-0.27953,-0.24736,-0.5035,2.668,5.9871,0.65679,0.6504,1.3595,4.0091,-0.18304,-0.15069,0.51915,0.011102,0.5022,1.9486,-0.29071,0.53658,0.42123,-0.15833,0.28868,-0.2028,0.56493,0.75333,-1.174,8
0.80849,-0.28078,0.53299,-0.52844,-0.36371,-1.0276,0.43648,-0.47375,-0.066732,-0.8956,-0.77084,0.8831,0.49791,1.0161,0.12646,0.24977,0.95194,0.952,1.149,0.9676,1.0184,0.10514,0.47785,-1.1909,1.158,3
3.0093,5.7682,3.3815,4.1096,1.1954,2.0978,0.56419,0.28333,0.73723,1.52,-0.6122,1.358,0.30084,0.023866,-0.036972,0.68561,0.34545,0.6278,0.89059,1.3952,1.2654,0.23298,0.3701,3.1798,3.7657,8
0.16093,-0.58103,-0.037001,-0.71669,-0.4494,-1.1841,0.57537,0.18009,-0.097369,-1.0711,0.19377,-0.12216,0.8677,1.4533,0.58967,0.022857,1.5337,0.76158,0.68271,0.060922,0.39087,-0.61577,0.75323,0.48053,-0.74829,3
0.28814,0.39259,0.036092,-0.16329,-0.41555,-1.0208,0.72544,1.7057,-0.0942,-1.0232,0.50536,0.17139,0.55498,0.53721,0.73495,-0.55201,0.055495,0.46789,0.31734,0.89805,0.61754,-0.39137,0.61773,-0.90155,0.071953,1
-1.0902,-1.2506,-1.1914,-1.3506,0.44284,2.0059,0.21298,-0.94406,0.1847,1.0174,-0.60434,1.3868,-0.51254,-0.70039,-0.2076,0.77863,-0.7028,0.34265,0.85849,0.99152,1.1854,1.1602,-0.42443,-0.80779,-0.7709,9
-0.79348,-0.87877,-0.54968,0.23247,0.082776,-0.60055,0.30078,-0.11815,0.12766,-0.26377,-0.36882,0.48212,0.80662,2.1756,0.31625,0.055681,2.088,1.0083,0.8699,0.65705,0.84153,-0.69553,0.82544,0.090201,1.4204,7
-0.42911,-0.48933,-0.68042,-0.74844,-0.10014,-0.84214,0.561,0.11127,0.14139,-0.61957,0.92828,-0.12825,0.50637,0.10317,0.69167,-0.84837,-0.19172,0.13571,0.077524,0.23329,0.43267,-0.039244,0.35288,-0.44123,-0.19895,1
0.346,0.50188,0.53058,0.32886,3.1909,7.5183,0.65519,0.57011,2.3293,5.6413,0.55892,-0.82026,0.9462,0.45317,0.90183,2.3843,0.14005,0.53809,0.01708,-0.80369,-0.36324,-1.3751,0.93729,0.41385,-0.99093,8
1.003,1.6916,0.67437,0.65319,-0.66688,-0.97144,0.26566,-1.1505,-0.36254,-1.1094,0.19576,0.39032,0.43433,-0.38312,0.39235,-0.6902,0.055641,0.42325,0.45235,0.64834,0.79812,0.025488,0.4222,1.5554,0.51372,3
0.44005,-0.12752,0.49455,-0.39577,0.056851,-0.63288,0.62326,0.16862,0.25337,-0.4297,0.12283,-0.7495,0.65176,-0.48929,0.81871,1.7459,-0.36019,0.51691,0.2756,-0.78716,-0.32578,-0.62682,0.67383,-0.59835,-0.20441,2
1.2486,0.67525,1.1558,0.049899,-0.081414,-0.49847,0.3838,-0.24433,0.066381,-0.42492,-0.83533,0.49604,0.65804,0.81301,0.17946,0.50263,1.0402,0.9701,1.0454,0.38085,0.742,-0.2302,0.65153,-0.29663,0.89559,3
0.866,1.8938,1.0556,0.86298,0.3269,0.55806,0.55302,-0.20992,0.56608,0.31541,0.96858,-0.69138,0.32091,-1.1486,0.91155,1.9624,-0.95787,0.025335,-0.16926,-0.528,-0.13504,-0.20766,0.38215,0.44332,4.8853,3
-0.75356,-0.8235,-0.57473,0.1032,0.33842,0.54616,0.47,-0.26727,0.26288,0.25956,0.27509,-0.59809,0.90357,0.85188,0.83464,-0.31489,0.91913,0.71998,0.34221,-0.45836,-0.039852,-1.1539,0.8966,0.79496,-0.045036,6
-0.83916,-1.1702,-0.70616,-0.43772,0.49109,0.14974,0.36943,-0.3361,0.40128,0.32179,-0.68096,0.5211,0.84406,2.6247,0.1336,1.8245,2.4251,1.1407,1.0726,0.32204,0.71808,-0.71471,0.85851,-0.27452,-0.23267,5
1.8553,-0.37626,1.9173,-0.098656,0.7597,-0.04251,0.59932,0.34069,0.86295,0.4622,0.24504,-0.21231,0.83688,1.0898,0.67175,0.17664,1.2,0.65675,0.56117,0.033861,0.33264,-0.61227,0.72395,0.57042,-0.81479,4
0.91168,0.46168,0.89227,-0.081646,1.006,0.41685,0.68393,0.18009,1.0119,0.80204,0.80832,-0.43542,0.54016,-0.34537,0.82872,-0.024087,-0.29799,0.29594,0.18062,-0.14247,0.1706,-0.31663,0.50905,-0.71698,0.76051,3
0.016129,-0.25943,0.012071,-0.45927,0.29017,-0.39979,0.43648,-0.20992,0.33789,-0.062733,2.1577,-0.33026,0.61521,0.038749,0.81974,0.046661,0.014034,0.18531,-0.035149,0.052404,0.24974,-0.42702,0.55003,0.22522,0.46022,4
1.07,0.67776,0.81987,0.052167,-0.21824,-0.71794,0.50832,-0.58846,-0.012853,-0.69616,0.42438,-0.61663,0.38882,-0.82382,0.8325,-0.33891,-0.77011,0.2152,0.081959,-0.4989,-0.068541,-0.19613,0.43087,0.94712,-0.67256,3
-0.49102,-0.64762,0.324,3.1162,0.57463,-0.14119,0.51949,0.23745,0.5122,0.26116,-0.19309,-0.24701,0.90708,1.6033,0.52693,-0.15628,1.6064,0.91878,0.64265,-0.29701,0.18527,-1.0423,0.90699,6.026,6.9958,6
-2.5186,-1.478,-2.6707,-1.5717,-3.9809,-1.8629,-5.1,-2.5729,-4.6348,-2.2965,-2.4059,-2.2434,-2.9305,-2.4863,-4.4475,-3.293,-2.2186,-4.3865,-4.4012,-2.7268,-4.1558,2.1544,-3.0355,-1.3713,-1.3553,10
-0.58237,-0.85365,-0.32971,0.23134,0.99662,1.4462,0.58814,-0.26727,1.0161,1.2344,0.83702,-0.84386,0.99763,0.97812,1.1805,0.02328,1.1069,0.69602,0.24348,-0.46746,-0.24275,-1.744,1.0512,-0.69837,2.4016,6
-1.0851,-1.3888,-1.2247,-1.4878,-0.76266,-1.1331,0.24012,-1.0473,-0.41536,-1.2434,-0.25071,2.6304,-2.2347,-1.132,-0.4929,0.11615,-1.4154,-0.34609,0.58471,2.2243,1.7914,2.0348,-2.1076,-0.93342,-1.2002,9
1.3075,-0.14133,1.6613,0.3867,0.020125,-0.96634,0.60411,0.67334,0.47734,-0.58128,1.0045,-0.96398,0.88251,-0.049909,1.1002,0.39398,0.13353,0.52574,0.13377,-0.82122,-0.44338,-1.2146,0.86466,1.9278,1.5111,6
1.6215,1.4969,1.3408,0.64072,1.0499,0.10381,0.63124,1.006,0.95803,0.77811,-0.66304,0.54943,0.32491,0.083738,0.34281,0.45462,0.11049,0.77301,0.97745,0.84112,0.88584,0.19192,0.39314,-0.55893,0.98507,3
-0.58846,-0.76822,-0.76587,-1.0852,1.055,0.23141,0.80685,0.96012,1.1672,0.75099,0.64125,0.69569,-1.2896,-1.3391,0.11296,-0.28653,-1.4428,-0.5119,0.030382,0.5904,0.87739,1.6291,-1.23,-1.036,-0.75074,9
-0.49508,-0.67651,-0.31187,-0.061234,1.6599,1.1416,0.99045,1.4075,1.819,1.5918,1.5588,-0.86642,0.95404,0.63081,1.0449,0.12455,0.6527,0.45062,0.018431,-0.69375,-0.30783,-1.2572,0.89142,-0.068214,0.46116,4
0.79394,-0.089827,1.0247,0.26876,1.2112,0.67376,0.77971,1.0404,0.93373,1.0015,-0.58578,0.30404,0.73543,1.3832,0.46836,0.87325,1.3734,0.99204,0.97253,0.64999,0.68188,-0.42658,0.72908,1.8766,0.34926,4
-2.5186,-1.478,-2.6707,-1.5717,-3.9809,-1.8629,-5.1,-2.5729,-4.6348,-2.2965,-2.4059,-2.2434,-2.9305,-2.4863,-4.4475,-3.293,-2.2186,-4.3865,-4.4012,-2.7268,-4.1558,2.1544,-3.0355,-1.3713,-1.3553,10
