@relation 'HTS data set'
@attribute 'feature1' real
@attribute 'feature2' real
@attribute 'feature3' real
@attribute 'feature4' real
@attribute 'feature5' real
@attribute 'feature6' real
@attribute 'feature7' real
@attribute 'feature8' real
@attribute 'feature9' real
@attribute 'feature10' real
@attribute 'feature11' real
@attribute 'feature12' real
@attribute 'feature13' real
@attribute 'feature14' real
@attribute 'feature15' real
@attribute class {1 2 3 }
@data
1.000000,3.000000,3.000000,2.000000,3.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,2.000000,2.000000,1.000000,2.000000,1
2.000000,1.000000,3.000000,3.000000,2.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,2.000000,2.000000,1.000000,1
3.000000,2.000000,1.000000,3.000000,3.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2.000000,1.000000,0.000000,2.000000,2.000000,1
2.000000,3.000000,2.000000,1.000000,3.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2.000000,1.000000,0.000000,2.000000,1
3.000000,2.000000,3.000000,2.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2.000000,1.000000,2.000000,1.000000,0.000000,1
1.000000,3.000000,2.000000,3.000000,2.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,2.000000,1.000000,2.000000,1.000000,1
1.000000,1.000000,3.000000,2.000000,3.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,2.000000,1.000000,2.000000,1
1.000000,1.000000,1.000000,3.000000,2.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,2.000000,1.000000,1
1.000000,1.000000,1.000000,1.000000,3.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,2.000000,2
2.000000,1.000000,1.000000,1.000000,1.000000,2.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2
2.000000,2.000000,1.000000,1.000000,1.000000,2.000000,2.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2
3.000000,2.000000,2.000000,1.000000,1.000000,2.000000,2.000000,2.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,2
3.000000,3.000000,2.000000,2.000000,1.000000,2.000000,2.000000,2.000000,2.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,2
2.000000,3.000000,3.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,0.000000,1.000000,1.000000,0.000000,0.000000,2
3.000000,2.000000,3.000000,3.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,1.000000,0.000000,1.000000,1.000000,0.000000,2
3.000000,3.000000,2.000000,3.000000,3.000000,2.000000,2.000000,2.000000,2.000000,2.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1
3.000000,3.000000,3.000000,2.000000,3.000000,1.000000,2.000000,2.000000,2.000000,2.000000,2.000000,1.000000,1.000000,0.000000,1.000000,1
2.000000,3.000000,3.000000,3.000000,2.000000,1.000000,1.000000,2.000000,2.000000,2.000000,1.000000,2.000000,1.000000,1.000000,0.000000,2
2.000000,2.000000,3.000000,3.000000,3.000000,2.000000,1.000000,1.000000,2.000000,2.000000,0.000000,1.000000,2.000000,1.000000,1.000000,1
2.000000,2.000000,2.000000,3.000000,3.000000,1.000000,2.000000,1.000000,1.000000,2.000000,1.000000,0.000000,1.000000,2.000000,1.000000,2
2.000000,2.000000,2.000000,2.000000,3.000000,2.000000,1.000000,2.000000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,2.000000,1
2.000000,2.000000,2.000000,2.000000,2.000000,1.000000,2.000000,1.000000,2.000000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,2
2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,1.000000,2.000000,1.000000,2.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1
3.000000,2.000000,2.000000,2.000000,2.000000,1.000000,2.000000,1.000000,2.000000,1.000000,2.000000,0.000000,1.000000,0.000000,1.000000,2
3.000000,3.000000,2.000000,2.000000,2.000000,2.000000,1.000000,2.000000,1.000000,2.000000,1.000000,2.000000,0.000000,1.000000,0.000000,1
2.000000,3.000000,3.000000,2.000000,2.000000,1.000000,2.000000,1.000000,2.000000,1.000000,1.000000,1.000000,2.000000,0.000000,1.000000,2
3.000000,2.000000,3.000000,3.000000,2.000000,2.000000,1.000000,2.000000,1.000000,2.000000,1.000000,1.000000,1.000000,2.000000,0.000000,1
2.000000,3.000000,2.000000,3.000000,3.000000,1.000000,2.000000,1.000000,2.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2.000000,3
3.000000,2.000000,3.000000,2.000000,3.000000,3.000000,1.000000,2.000000,1.000000,2.000000,0.000000,1.000000,1.000000,1.000000,1.000000,2
2.000000,3.000000,2.000000,3.000000,2.000000,2.000000,3.000000,1.000000,2.000000,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,3
3.000000,2.000000,3.000000,2.000000,3.000000,3.000000,2.000000,3.000000,1.000000,2.000000,0.000000,0.000000,0.000000,1.000000,1.000000,2
3.000000,3.000000,2.000000,3.000000,2.000000,2.000000,3.000000,2.000000,3.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,3
3.000000,3.000000,3.000000,2.000000,3.000000,3.000000,2.000000,3.000000,2.000000,3.000000,0.000000,1.000000,0.000000,0.000000,0.000000,2
3.000000,3.000000,3.000000,3.000000,2.000000,2.000000,3.000000,2.000000,3.000000,2.000000,1.000000,0.000000,1.000000,0.000000,0.000000,3
3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,2.000000,3.000000,2.000000,3.000000,0.000000,1.000000,0.000000,1.000000,0.000000,2
2.000000,3.000000,3.000000,3.000000,3.000000,2.000000,3.000000,2.000000,3.000000,2.000000,0.000000,0.000000,1.000000,0.000000,1.000000,3
1.000000,2.000000,3.000000,3.000000,3.000000,3.000000,2.000000,3.000000,2.000000,3.000000,1.000000,0.000000,0.000000,1.000000,0.000000,2
3.000000,1.000000,2.000000,3.000000,3.000000,2.000000,3.000000,2.000000,3.000000,2.000000,1.000000,1.000000,0.000000,0.000000,1.000000,3
1.000000,3.000000,1.000000,2.000000,3.000000,3.000000,2.000000,3.000000,2.000000,3.000000,1.000000,1.000000,1.000000,0.000000,0.000000,2
