@relation 'HTS data set'
@attribute 'feature1' real
@attribute 'feature2' real
@attribute 'feature3' real
@attribute 'feature4' real
@attribute 'feature5' real
@attribute 'feature6' real
@attribute 'feature7' real
@attribute 'feature8' real
@attribute 'feature9' real
@attribute 'feature10' real
@attribute 'feature11' real
@attribute 'feature12' real
@attribute 'feature13' real
@attribute 'feature14' real
@attribute 'feature15' real
@attribute 'feature16' real
@attribute 'feature17' real
@attribute 'feature18' real
@attribute 'feature19' real
@attribute 'feature20' real
@attribute 'feature21' real
@attribute 'feature22' real
@attribute 'feature23' real
@attribute 'feature24' real
@attribute 'feature25' real
@attribute 'feature26' real
@attribute 'feature27' real
@attribute 'feature28' real
@attribute 'feature29' real
@attribute 'feature30' real
@attribute 'feature31' real
@attribute 'feature32' real
@attribute 'feature33' real
@attribute 'feature34' real
@attribute 'feature35' real
@attribute 'feature36' real
@attribute 'feature37' real
@attribute 'feature38' real
@attribute 'feature39' real
@attribute 'feature40' real
@attribute 'feature41' real
@attribute 'feature42' real
@attribute 'feature43' real
@attribute 'feature44' real
@attribute 'feature45' real
@attribute 'feature46' real
@attribute 'feature47' real
@attribute 'feature48' real
@attribute class {1 2 3 4 }
@data
0.003649,0.000175,0.003297,0.000117,0.003469,0.000234,0.015622,0.003599,0.004458,0.001562,0.009943,0.006351,0.021749,0.006822,0.004629,0.001935,0.013135,0.010042,0.100794,1.100294,0.426176,0.959657,0.666843,6.598405,2.734651,1.913447,2.638407,0.557292,1.047307,-0.089444,0.467893,0.006697,0.005222,0.145152,0.903903,0.741560,1.819220,0.714552,8.622744,6.063721,2.078788,2.595831,0.511899,0.999024,-0.264430,0.740042,0.058407,0.051282,2
0.003395,0.000502,0.003045,0.000126,0.003221,0.000412,0.012126,0.002117,0.004352,0.001888,0.008169,0.004472,0.012949,0.007615,0.003683,0.001784,0.008311,0.007343,0.725973,0.279302,0.681648,0.438668,0.942807,2.381546,1.475370,0.672547,0.767196,0.259973,0.400413,-0.423546,0.581238,0.003836,0.013138,0.296571,0.791147,0.705946,1.346302,0.854146,3.860973,4.589774,1.501172,1.735111,0.659039,0.755252,-0.319130,0.694878,0.138335,0.094429,2
0.003611,0.000338,0.003033,0.000134,0.003267,0.000378,0.017768,0.004858,0.004041,0.001700,0.009618,0.007698,0.014694,0.008682,0.003176,0.001081,0.007923,0.008103,0.113228,0.958935,0.586936,1.172927,0.708567,5.044106,3.683226,1.981647,2.550236,0.546019,0.988708,-0.175577,0.624117,0.005942,0.018311,0.148329,1.050951,0.665047,1.571672,0.756532,4.606844,5.224136,1.904572,2.317960,0.727393,0.949597,-0.238085,0.682567,0.131873,0.262591,2
0.003397,0.000148,0.003091,0.000110,0.003215,0.000200,0.018230,0.005183,0.004728,0.001756,0.010245,0.007721,0.015842,0.006445,0.003860,0.001663,0.008788,0.007433,0.082012,1.384543,0.376416,1.100351,0.614047,7.676720,3.055716,1.968739,2.822611,0.624474,1.116100,-0.068397,0.426032,0.004939,0.011231,0.123806,0.859566,0.623537,1.125961,0.751249,5.330820,3.687919,1.996020,2.448960,0.554521,0.934603,-0.246049,0.706126,0.120678,0.195166,2
0.006910,0.002771,0.004458,0.000292,0.005481,0.002198,0.013446,0.003893,0.005386,0.001425,0.008663,0.004926,0.009147,0.006476,0.002875,0.000676,0.005493,0.005292,0.264240,1.203540,0.522571,1.259686,0.770776,3.460981,3.838180,1.622459,2.076889,0.877272,1.021549,-0.231544,0.648006,0.157037,0.259078,0.221603,1.213998,0.537440,1.312801,0.741215,3.653258,4.035040,1.713066,2.242777,0.821233,1.069964,-0.206584,0.635268,0.258823,0.532155,3
0.006537,0.001929,0.004453,0.000314,0.005351,0.001671,0.016693,0.005391,0.005039,0.001330,0.009997,0.006963,0.013976,0.007884,0.003026,0.000867,0.007747,0.007616,0.185514,1.209624,0.531152,1.289606,0.734752,3.763827,3.950307,1.782959,2.327489,0.804345,1.074256,-0.194861,0.628710,0.108471,0.136800,0.094547,0.969580,0.659336,1.427401,0.704606,4.759403,4.722533,2.069315,2.639274,0.547223,0.977596,-0.239306,0.715600,0.515367,0.364073,3
0.004564,0.000262,0.004244,0.000249,0.004314,0.000282,0.009060,0.001304,0.005669,0.001354,0.006469,0.002056,0.003902,0.000443,0.002920,0.000549,0.003146,0.000687,0.169570,0.728916,0.525605,0.898554,0.740073,4.873494,2.255081,1.752755,2.188465,0.423981,0.875645,-0.152057,0.563890,0.016049,0.012226,0.053652,2.497992,0.450783,2.349805,0.527028,7.823293,6.177610,2.279654,3.297549,1.075289,1.365221,-0.096421,0.540398,0.014429,0.010951,4
0.004759,0.000313,0.004248,0.000329,0.004545,0.000408,0.011476,0.002435,0.005814,0.001715,0.009179,0.003643,0.004586,0.000657,0.002974,0.000678,0.003920,0.001060,0.160650,0.547161,0.593862,0.642018,0.770428,5.169873,2.135855,1.760049,2.154778,0.323416,0.795452,-0.191108,0.609854,0.002798,0.011665,0.102141,0.716800,0.684360,1.061019,0.727310,7.181370,3.781042,2.071035,2.599524,0.387697,0.891888,-0.226779,0.701897,0.009485,0.017883,4
0.004916,0.000309,0.004639,0.000449,0.004783,0.000408,0.012695,0.002799,0.007251,0.002249,0.010142,0.003835,0.004596,0.000491,0.003582,0.000976,0.004117,0.000934,0.212336,0.628513,0.543960,0.667909,0.786879,4.908350,2.126020,1.658706,2.061995,0.418148,0.848881,-0.169775,0.564871,0.004175,0.011822,0.129179,0.582077,0.690612,0.897446,0.759063,8.154379,3.170057,1.963437,2.418265,0.333501,0.829159,-0.238612,0.696469,0.014304,0.019026,4
0.005290,0.003391,0.004683,0.002389,0.004906,0.002505,0.013048,0.003112,0.006614,0.001738,0.009503,0.004161,0.004676,0.000617,0.003434,0.000776,0.003985,0.000962,0.955575,0.313659,0.280077,0.252021,0.983552,2.089938,0.552900,0.153271,0.171012,0.309109,0.140712,-0.248432,0.227815,0.030857,0.029580,0.117817,0.617201,0.687280,0.972368,0.757187,6.748735,3.328097,1.993760,2.436096,0.360125,0.840405,-0.263561,0.724303,0.015530,0.027754,4
