@relation 'HTS data set'
@attribute 'feature1' real
@attribute 'feature2' real
@attribute 'feature3' real
@attribute 'feature4' real
@attribute 'feature5' real
@attribute 'feature6' real
@attribute 'feature7' real
@attribute 'feature8' real
@attribute 'feature9' real
@attribute 'feature10' real
@attribute 'feature11' real
@attribute 'feature12' real
@attribute 'feature13' real
@attribute 'feature14' real
@attribute 'feature15' real
@attribute 'feature16' real
@attribute 'feature17' real
@attribute 'feature18' real
@attribute 'feature19' real
@attribute 'feature20' real
@attribute 'feature21' real
@attribute 'feature22' real
@attribute 'feature23' real
@attribute 'feature24' real
@attribute 'feature25' real
@attribute 'feature26' real
@attribute 'feature27' real
@attribute 'feature28' real
@attribute 'feature29' real
@attribute 'feature30' real
@attribute 'feature31' real
@attribute 'feature32' real
@attribute 'feature33' real
@attribute 'feature34' real
@attribute 'feature35' real
@attribute 'feature36' real
@attribute 'feature37' real
@attribute 'feature38' real
@attribute 'feature39' real
@attribute 'feature40' real
@attribute 'feature41' real
@attribute 'feature42' real
@attribute 'feature43' real
@attribute 'feature44' real
@attribute 'feature45' real
@attribute 'feature46' real
@attribute 'feature47' real
@attribute 'feature48' real
@attribute 'feature49' real
@attribute 'feature50' real
@attribute 'feature51' real
@attribute 'feature52' real
@attribute 'feature53' real
@attribute 'feature54' real
@attribute 'feature55' real
@attribute 'feature56' real
@attribute 'feature57' real
@attribute 'feature58' real
@attribute 'feature59' real
@attribute 'feature60' real
@attribute 'feature61' real
@attribute 'feature62' real
@attribute 'feature63' real
@attribute 'feature64' real
@attribute 'feature65' real
@attribute 'feature66' real
@attribute 'feature67' real
@attribute 'feature68' real
@attribute 'feature69' real
@attribute 'feature70' real
@attribute 'feature71' real
@attribute 'feature72' real
@attribute 'feature73' real
@attribute 'feature74' real
@attribute 'feature75' real
@attribute 'feature76' real
@attribute 'feature77' real
@attribute 'feature78' real
@attribute 'feature79' real
@attribute 'feature80' real
@attribute 'feature81' real
@attribute 'feature82' real
@attribute 'feature83' real
@attribute 'feature84' real
@attribute 'feature85' real
@attribute 'feature86' real
@attribute 'feature87' real
@attribute 'feature88' real
@attribute 'feature89' real
@attribute 'feature90' real
@attribute 'feature91' real
@attribute 'feature92' real
@attribute 'feature93' real
@attribute class {1 2 3 4}
@data
0.014763,0.013422,0.011835,0.012447,0.010488,0.002525,0.004443,0.003455,602.000000,0.797234,0.919084,0.606855,1.000000,98.568542,0.763066,36.597368,22.092760,52.456711,0.276328,3.533597,0.546471,4.530707,0.697822,3.968379,10.829040,1.726061,2.189939,2.549345,1.334363,-0.133458,0.534909,1.296453,0.983455,0.045595,2.646245,0.456165,2.518712,0.515137,9.717391,7.080211,2.344650,3.365324,1.110801,1.390755,-0.133027,0.617715,0.147653,0.154116,0.351186,2.112671,0.691179,3.420373,0.776551,3.863158,11.569188,1.602820,2.046237,1.657243,1.093442,-0.222205,0.633981,0.261880,0.347878,0.240343,5.735892,0.252163,4.972081,0.648648,3.930023,8.277270,1.766707,2.227112,3.968132,1.496433,-0.065214,0.397542,2.841797,2.031476,0.317754,3.064160,0.567724,3.541095,0.744277,3.947691,11.112098,1.687014,2.177568,2.349938,1.211977,-0.158940,0.561759,0.986114,0.356273,4
0.018296,0.011701,0.009496,0.009278,0.024231,0.017299,0.007227,0.012187,709.000000,0.434464,0.979282,0.788654,1.000000,97.840620,0.911980,31.769613,28.614546,21.375550,0.078504,3.680064,0.511495,3.788133,0.575007,5.561093,11.275207,2.325700,3.261960,2.079148,1.529443,-0.151805,0.649725,0.983067,1.053085,0.052264,2.586817,0.773681,5.737826,0.505917,7.139871,20.271433,2.577983,3.382711,1.034349,1.372891,-0.278359,0.815796,0.332365,0.111438,0.430966,1.536569,0.630775,2.080010,0.811912,3.390957,6.785317,1.415908,1.823781,1.242205,0.964690,-0.266626,0.658958,0.271510,0.356412,0.064402,4.074468,0.470467,3.881127,0.522603,5.620567,10.859577,2.367148,3.348975,2.072544,1.595579,-0.108611,0.575102,1.473991,1.222528,0.403692,1.797499,0.581802,2.149999,0.783431,3.434873,6.793865,1.467791,1.913745,1.400936,1.058950,-0.209834,0.608066,0.234132,0.340494,4
0.013250,0.011652,0.010945,0.011532,0.010854,0.002758,0.004995,0.003961,640.000000,0.898796,0.949555,0.554113,1.000000,105.639610,0.707217,43.593573,19.109991,-49.189755,0.306305,3.359404,0.468118,3.556069,0.701772,3.877095,8.729773,1.686347,2.205255,2.414490,1.329201,-0.167740,0.602648,0.265416,0.341240,0.038302,3.538175,0.378119,3.059309,0.478950,10.163873,7.779477,2.395259,3.559752,1.492796,1.509368,-0.087484,0.530792,0.148056,0.115824,0.377704,2.400000,0.614981,3.113117,0.761111,3.743689,10.066344,1.559599,2.016059,1.839682,1.144720,-0.207862,0.613110,0.279477,1.132491,0.262224,4.513859,0.328030,3.864412,0.665721,3.916844,7.850228,1.779691,2.294984,3.133610,1.444564,-0.088070,0.476353,2.388619,1.707810,0.319386,3.756417,0.429634,3.283407,0.706743,3.873756,9.414654,1.682615,2.217772,2.731115,1.330816,-0.120803,0.500180,1.065107,0.820793,4
0.012261,0.007457,0.008376,0.007334,0.009532,0.001929,0.004406,0.003056,1224.000000,0.721658,0.908686,0.633540,1.000000,146.468040,0.707287,49.276043,34.111320,30.795249,0.249098,1.199272,0.571041,1.415675,0.754007,3.565059,4.391354,1.676486,2.186405,0.834232,1.053537,-0.201828,0.623727,0.746561,0.429288,0.045192,1.979072,0.665296,2.968453,0.577245,10.379436,9.846019,2.482015,3.384377,0.923732,1.283091,-0.188543,0.711998,0.015459,0.011176,0.582580,0.621185,0.717652,1.100778,0.882808,2.750848,3.778936,1.011696,1.250457,0.534493,0.675375,-0.266713,0.565560,0.295498,0.224742,0.221726,1.549656,0.449159,1.436252,0.712886,3.604720,4.075809,1.703911,2.291149,1.023068,1.164761,-0.141549,0.542810,0.759189,1.720382,0.560553,0.838378,0.629003,1.131446,0.861952,2.773317,3.681166,1.049042,1.316281,0.707964,0.764169,-0.212813,0.519581,0.203289,1.255889,4
0.014985,0.010672,0.008771,0.008548,0.015605,0.005487,0.005087,0.005744,634.000000,0.845211,0.942051,0.628968,1.000000,101.740120,0.754778,39.284603,20.994949,-62.457673,0.187866,1.560837,0.762947,2.239182,0.703087,4.423954,9.776537,1.989202,2.512831,1.002606,1.178484,-0.287238,0.773838,0.777345,0.378238,0.041717,3.612167,0.487371,3.223771,0.487469,10.266160,10.332201,2.500521,3.503172,1.579103,1.533488,-0.169354,0.694442,0.126149,0.124221,0.533783,0.924777,0.738556,1.768493,0.856391,3.082481,6.149581,1.184157,1.477850,0.777550,0.788485,-0.309691,0.647449,0.503452,0.430046,0.138500,3.195604,0.523081,1.575433,0.590277,4.457143,7.637174,2.034158,2.712178,1.828504,1.468133,-0.143604,0.618868,1.322038,1.385757,0.482737,1.567492,0.576828,1.851864,0.811636,3.144053,5.840776,1.274783,1.637694,1.266850,0.968084,-0.199559,0.552563,0.380267,0.080291,4
0.014985,0.010672,0.008771,0.008548,0.015605,0.005487,0.005087,0.005744,634.000000,0.845211,0.942051,0.628968,1.000000,101.740120,0.754778,39.284603,20.994949,-62.457673,0.187866,1.560837,0.762947,2.239182,0.703087,4.423954,9.776537,1.989202,2.512831,1.002606,1.178484,-0.287238,0.773838,0.777345,0.378238,0.041717,3.612167,0.487371,3.223771,0.487469,10.266160,10.332201,2.500521,3.503172,1.579103,1.533488,-0.169354,0.694442,0.126149,0.124221,0.533783,0.924777,0.738556,1.768493,0.856391,3.082481,6.149581,1.184157,1.477850,0.777550,0.788485,-0.309691,0.647449,0.503452,0.430046,0.138500,3.195604,0.523081,1.575433,0.590277,4.457143,7.637174,2.034158,2.712178,1.828504,1.468133,-0.143604,0.618868,1.322038,1.385757,0.482737,1.567492,0.576828,1.851864,0.811636,3.144053,5.840776,1.274783,1.637694,1.266850,0.968084,-0.199559,0.552563,0.380267,0.080291,4
0.013250,0.011652,0.010945,0.011532,0.010854,0.002758,0.004995,0.003961,640.000000,0.898796,0.949555,0.554113,1.000000,105.639610,0.707217,43.593573,19.109991,-49.189755,0.306305,3.359404,0.468118,3.556069,0.701772,3.877095,8.729773,1.686347,2.205255,2.414490,1.329201,-0.167740,0.602648,0.265416,0.341240,0.038302,3.538175,0.378119,3.059309,0.478950,10.163873,7.779477,2.395259,3.559752,1.492796,1.509368,-0.087484,0.530792,0.148056,0.115824,0.377704,2.400000,0.614981,3.113117,0.761111,3.743689,10.066344,1.559599,2.016059,1.839682,1.144720,-0.207862,0.613110,0.279477,1.132491,0.262224,4.513859,0.328030,3.864412,0.665721,3.916844,7.850228,1.779691,2.294984,3.133610,1.444564,-0.088070,0.476353,2.388619,1.707810,0.319386,3.756417,0.429634,3.283407,0.706743,3.873756,9.414654,1.682615,2.217772,2.731115,1.330816,-0.120803,0.500180,1.065107,0.820793,4
0.012972,0.007354,0.009219,0.006522,0.014642,0.005030,0.005254,0.005207,1156.000000,0.399261,0.969799,0.722500,1.000000,127.882250,0.874544,40.296785,36.945604,-35.943095,0.250037,0.838803,0.727013,1.609468,0.812866,3.599421,4.141660,1.686374,1.983369,0.642510,0.869292,-0.330270,0.763298,0.090716,0.042237,0.039931,1.932432,0.713465,3.421528,0.559312,9.530888,11.550204,2.551831,3.447910,0.821402,1.252087,-0.230398,0.770296,0.027535,0.087243,0.513180,0.512784,0.770588,1.117623,0.881059,2.902053,3.957637,1.162946,1.399878,0.434295,0.666621,-0.357077,0.675268,0.070956,0.066459,0.225045,1.097179,0.662692,1.665342,0.758738,3.632184,4.021451,1.724130,2.076249,0.769282,0.991230,-0.257291,0.710892,0.309399,0.684103,0.486303,0.776106,0.661492,1.146626,0.855625,2.928837,3.809317,1.204948,1.492009,0.645503,0.776542,-0.282229,0.623177,0.075612,0.270737,4
0.008713,0.005769,0.009981,0.008751,0.012040,0.003191,0.005325,0.004328,666.000000,0.820789,0.922438,0.711538,1.000000,103.254830,0.770002,39.389681,22.500617,-74.715225,0.521486,0.869176,0.685701,0.255585,0.840319,2.718638,2.316893,1.072160,1.244534,0.706585,0.832506,-0.223543,0.587512,0.208142,0.371954,0.045818,3.051971,0.400091,2.490230,0.494389,9.643369,7.075323,2.365292,3.404613,1.278969,1.443545,-0.117235,0.591350,0.073049,0.205967,0.511637,1.007566,0.711306,1.745181,0.843228,3.137873,5.972584,1.217845,1.530145,0.834043,0.837466,-0.313508,0.659376,0.193024,0.357626,0.488188,1.393004,0.461446,0.141514,0.808467,2.722222,1.974280,1.100312,1.272747,1.113368,0.961778,-0.119654,0.468052,0.429767,0.876958,0.470240,1.386213,0.618612,1.817767,0.816475,3.193548,5.882999,1.299586,1.672638,1.121191,0.943457,-0.215408,0.577776,0.583569,0.262619,4
0.012819,0.009561,0.009711,0.007685,0.011888,0.002851,0.006006,0.004591,728.000000,0.773837,0.947917,0.787027,1.000000,105.254830,0.810296,38.941464,24.664951,-5.361262,0.296194,1.741140,0.626582,2.259895,0.724187,3.673344,7.575884,1.637120,2.138000,1.207723,1.169920,-0.217026,0.637699,1.007735,0.922487,0.061080,2.375963,0.504268,2.469918,0.570476,10.665639,7.202533,2.293430,3.208574,1.172395,1.336575,-0.118899,0.578132,0.006614,0.100708,0.445977,0.822051,0.708191,1.408554,0.826184,3.041539,4.812121,1.279553,1.596381,0.644789,0.860834,-0.260744,0.616878,0.235948,0.780980,0.252269,2.874372,0.410606,2.349795,0.667666,3.755444,6.874866,1.727892,2.309353,1.910883,1.365793,-0.125130,0.516701,1.960330,1.343433,0.407265,1.304798,0.559161,1.480029,0.791344,3.097601,4.614793,1.350883,1.736799,1.003317,1.000093,-0.168996,0.524290,0.499303,0.720874,4
