@relation 'HTS data set'
@attribute 'feature1' real
@attribute 'feature2' real
@attribute 'feature3' real
@attribute 'feature4' real
@attribute 'feature5' real
@attribute 'feature6' real
@attribute 'feature7' real
@attribute 'feature8' real
@attribute 'feature9' real
@attribute 'feature10' real
@attribute 'feature11' real
@attribute 'feature12' real
@attribute 'feature13' real
@attribute 'feature14' real
@attribute 'feature15' real
@attribute 'feature16' real
@attribute 'feature17' real
@attribute 'feature18' real
@attribute 'feature19' real
@attribute 'feature20' real
@attribute 'feature21' real
@attribute 'feature22' real
@attribute 'feature23' real
@attribute 'feature24' real
@attribute 'feature25' real
@attribute 'feature26' real
@attribute 'feature27' real
@attribute 'feature28' real
@attribute 'feature29' real
@attribute 'feature30' real
@attribute 'feature31' real
@attribute 'feature32' real
@attribute 'feature33' real
@attribute 'feature34' real
@attribute 'feature35' real
@attribute 'feature36' real
@attribute 'feature37' real
@attribute 'feature38' real
@attribute 'feature39' real
@attribute 'feature40' real
@attribute 'feature41' real
@attribute 'feature42' real
@attribute 'feature43' real
@attribute 'feature44' real
@attribute 'feature45' real
@attribute 'feature46' real
@attribute 'feature47' real
@attribute 'feature48' real
@attribute 'feature49' real
@attribute 'feature50' real
@attribute 'feature51' real
@attribute 'feature52' real
@attribute 'feature53' real
@attribute 'feature54' real
@attribute 'feature55' real
@attribute 'feature56' real
@attribute 'feature57' real
@attribute 'feature58' real
@attribute 'feature59' real
@attribute 'feature60' real
@attribute 'feature61' real
@attribute 'feature62' real
@attribute 'feature63' real
@attribute 'feature64' real
@attribute 'feature65' real
@attribute 'feature66' real
@attribute 'feature67' real
@attribute 'feature68' real
@attribute 'feature69' real
@attribute 'feature70' real
@attribute 'feature71' real
@attribute 'feature72' real
@attribute 'feature73' real
@attribute 'feature74' real
@attribute 'feature75' real
@attribute 'feature76' real
@attribute 'feature77' real
@attribute 'feature78' real
@attribute 'feature79' real
@attribute 'feature80' real
@attribute 'feature81' real
@attribute 'feature82' real
@attribute 'feature83' real
@attribute 'feature84' real
@attribute 'feature85' real
@attribute 'feature86' real
@attribute 'feature87' real
@attribute 'feature88' real
@attribute 'feature89' real
@attribute 'feature90' real
@attribute 'feature91' real
@attribute 'feature92' real
@attribute 'feature93' real
@attribute class {1 2 3 4}
@data
0.014763,0.013422,0.011765,0.012342,0.010488,0.002525,0.004405,0.003432,602.000000,0.797234,0.919084,0.606855,1.000000,98.568542,0.763066,36.597368,22.092760,52.456711,0.276328,3.533597,0.546471,4.530707,0.697822,3.968379,10.829040,1.726061,2.189939,2.549345,1.334363,-0.133458,0.534909,1.296453,0.983455,0.045595,2.646245,0.456165,2.518712,0.515137,9.717391,7.080211,2.344650,3.365324,1.110801,1.390755,-0.133027,0.617715,0.147653,0.154116,0.353557,2.081836,0.691079,3.370025,0.777420,3.834799,11.396036,1.592770,2.032730,1.633985,1.089488,-0.219902,0.629431,0.306291,0.330686,0.240343,5.735892,0.252163,4.972081,0.648648,3.930023,8.277270,1.766707,2.227112,3.968132,1.496433,-0.065214,0.397542,2.841797,2.031476,0.319618,3.013627,0.568354,3.489365,0.745469,3.918637,10.949292,1.677496,2.164202,2.313940,1.207221,-0.157000,0.557002,0.936355,0.374462,4
0.018296,0.011701,0.009456,0.009228,0.024231,0.017299,0.007157,0.012117,709.000000,0.434464,0.979282,0.788654,1.000000,97.840620,0.911980,31.769613,28.614546,21.375550,0.078504,3.680064,0.511495,3.788133,0.575007,5.561093,11.275207,2.325700,3.261960,2.079148,1.529443,-0.151805,0.649725,0.983067,1.053085,0.052264,2.586817,0.773681,5.737826,0.505917,7.139871,20.271433,2.577983,3.382711,1.034349,1.372891,-0.278359,0.815796,0.332365,0.111438,0.434251,1.514903,0.631751,2.056184,0.814193,3.375369,6.711375,1.407349,1.810735,1.228102,0.956837,-0.268091,0.658808,0.282227,0.361549,0.064402,4.074468,0.470467,3.881127,0.522603,5.620567,10.859577,2.367148,3.348975,2.072544,1.595579,-0.108611,0.575102,1.473991,1.222528,0.406812,1.770441,0.582905,2.125262,0.785870,3.418064,6.714036,1.459158,1.900974,1.384028,1.050962,-0.210807,0.607548,0.240515,0.347637,4
0.013250,0.011652,0.010682,0.011393,0.010854,0.002758,0.004911,0.003910,640.000000,0.898796,0.949555,0.554113,1.000000,105.639610,0.707217,43.593573,19.109991,-49.189755,0.306305,3.359404,0.468118,3.556069,0.701772,3.877095,8.729773,1.686347,2.205255,2.414490,1.329201,-0.167740,0.602648,0.265416,0.341240,0.038302,3.538175,0.378119,3.059309,0.478950,10.163873,7.779477,2.395259,3.559752,1.492796,1.509368,-0.087484,0.530792,0.148056,0.115824,0.390924,2.329251,0.617651,3.042331,0.767964,3.692416,9.854050,1.528655,1.971830,1.801010,1.123676,-0.211329,0.612348,0.233722,1.097457,0.262224,4.513859,0.328030,3.864412,0.665721,3.916844,7.850228,1.779691,2.294984,3.133610,1.444564,-0.088070,0.476353,2.388619,1.707810,0.330531,3.664793,0.433224,3.223466,0.713681,3.828309,9.266383,1.656325,2.178642,2.688160,1.311293,-0.123604,0.501713,1.031170,0.800708,4
0.012261,0.007457,0.008049,0.007023,0.009532,0.001929,0.004188,0.002968,1224.000000,0.721658,0.908686,0.633540,1.000000,146.468040,0.707287,49.276043,34.111320,30.795249,0.249098,1.199272,0.571041,1.415675,0.754007,3.565059,4.391354,1.676486,2.186405,0.834232,1.053537,-0.201828,0.623727,0.746561,0.429288,0.045192,1.979072,0.665296,2.968453,0.577245,10.379436,9.846019,2.482015,3.384377,0.923732,1.283091,-0.188543,0.711998,0.015459,0.011176,0.613562,0.566304,0.719173,1.008249,0.892800,2.682313,3.466807,0.945761,1.163558,0.493963,0.635000,-0.274099,0.555936,0.304799,0.245268,0.221726,1.549656,0.449159,1.436252,0.712886,3.604720,4.075809,1.703911,2.291149,1.023068,1.164761,-0.141549,0.542810,0.759189,1.720382,0.591901,0.763235,0.631241,1.034815,0.873441,2.702574,3.376243,0.982061,1.226086,0.654238,0.720110,-0.219647,0.511080,0.164978,1.460975,4
0.014985,0.010672,0.010750,0.009398,0.015605,0.005487,0.006251,0.006335,634.000000,0.845211,0.942051,0.628968,1.000000,101.740120,0.754778,39.284603,20.994949,-62.457673,0.187866,1.560837,0.762947,2.239182,0.703087,4.423954,9.776537,1.989202,2.512831,1.002606,1.178484,-0.287238,0.773838,0.777345,0.378238,0.041717,3.612167,0.487371,3.223771,0.487469,10.266160,10.332201,2.500521,3.503172,1.579103,1.533488,-0.169354,0.694442,0.126149,0.124221,0.336709,1.413127,0.703372,2.381373,0.771343,3.628378,8.114793,1.604590,2.065022,1.050342,1.054890,-0.234266,0.649851,0.415592,0.543369,0.138500,3.195604,0.523081,1.575433,0.590277,4.457143,7.637174,2.034158,2.712178,1.828504,1.468133,-0.143604,0.618868,1.322038,1.385757,0.263955,2.464728,0.521054,2.571945,0.694196,3.800215,7.827076,1.741470,2.325506,1.691427,1.291378,-0.130843,0.528455,0.468758,0.398550,4
0.014985,0.010672,0.010750,0.009398,0.015605,0.005487,0.006251,0.006335,634.000000,0.845211,0.942051,0.628968,1.000000,101.740120,0.754778,39.284603,20.994949,-62.457673,0.187866,1.560837,0.762947,2.239182,0.703087,4.423954,9.776537,1.989202,2.512831,1.002606,1.178484,-0.287238,0.773838,0.777345,0.378238,0.041717,3.612167,0.487371,3.223771,0.487469,10.266160,10.332201,2.500521,3.503172,1.579103,1.533488,-0.169354,0.694442,0.126149,0.124221,0.336709,1.413127,0.703372,2.381373,0.771343,3.628378,8.114793,1.604590,2.065022,1.050342,1.054890,-0.234266,0.649851,0.415592,0.543369,0.138500,3.195604,0.523081,1.575433,0.590277,4.457143,7.637174,2.034158,2.712178,1.828504,1.468133,-0.143604,0.618868,1.322038,1.385757,0.263955,2.464728,0.521054,2.571945,0.694196,3.800215,7.827076,1.741470,2.325506,1.691427,1.291378,-0.130843,0.528455,0.468758,0.398550,4
0.013250,0.011652,0.010682,0.011393,0.010854,0.002758,0.004911,0.003910,640.000000,0.898796,0.949555,0.554113,1.000000,105.639610,0.707217,43.593573,19.109991,-49.189755,0.306305,3.359404,0.468118,3.556069,0.701772,3.877095,8.729773,1.686347,2.205255,2.414490,1.329201,-0.167740,0.602648,0.265416,0.341240,0.038302,3.538175,0.378119,3.059309,0.478950,10.163873,7.779477,2.395259,3.559752,1.492796,1.509368,-0.087484,0.530792,0.148056,0.115824,0.390924,2.329251,0.617651,3.042331,0.767964,3.692416,9.854050,1.528655,1.971830,1.801010,1.123676,-0.211329,0.612348,0.233722,1.097457,0.262224,4.513859,0.328030,3.864412,0.665721,3.916844,7.850228,1.779691,2.294984,3.133610,1.444564,-0.088070,0.476353,2.388619,1.707810,0.330531,3.664793,0.433224,3.223466,0.713681,3.828309,9.266383,1.656325,2.178642,2.688160,1.311293,-0.123604,0.501713,1.031170,0.800708,4
0.012972,0.007354,0.007492,0.005482,0.014642,0.005030,0.004005,0.004298,1156.000000,0.399261,0.969799,0.722500,1.000000,127.882250,0.874544,40.296785,36.945604,-35.943095,0.250037,0.838803,0.727013,1.609468,0.812866,3.599421,4.141660,1.686374,1.983369,0.642510,0.869292,-0.330270,0.763298,0.090716,0.042237,0.039931,1.932432,0.713465,3.421528,0.559312,9.530888,11.550204,2.551831,3.447910,0.821402,1.252087,-0.230398,0.770296,0.027535,0.087243,0.674631,0.310018,0.785990,0.724355,0.926318,2.553178,2.587213,0.818616,0.964985,0.280273,0.478821,-0.402106,0.620379,0.048102,0.071212,0.225045,1.097179,0.662692,1.665342,0.758738,3.632184,4.021451,1.724130,2.076249,0.769282,0.991230,-0.257291,0.710892,0.309399,0.684103,0.655898,0.462815,0.687603,0.741000,0.911027,2.566998,2.500180,0.849751,1.025612,0.414249,0.556703,-0.331891,0.579187,0.080440,0.215038,4
0.008713,0.005769,0.009657,0.008533,0.012040,0.003191,0.005136,0.004239,666.000000,0.820789,0.922438,0.711538,1.000000,103.254830,0.770002,39.389681,22.500617,-74.715225,0.521486,0.869176,0.685701,0.255585,0.840319,2.718638,2.316893,1.072160,1.244534,0.706585,0.832506,-0.223543,0.587512,0.208142,0.371954,0.045818,3.051971,0.400091,2.490230,0.494389,9.643369,7.075323,2.365292,3.404613,1.278969,1.443545,-0.117235,0.591350,0.073049,0.205967,0.539479,0.936378,0.714840,1.641894,0.854035,3.057377,5.630978,1.155806,1.446349,0.786154,0.798290,-0.320159,0.651729,0.207686,0.378404,0.488188,1.393004,0.461446,0.141514,0.808467,2.722222,1.974280,1.100312,1.272747,1.113368,0.961778,-0.119654,0.468052,0.429767,0.876958,0.499450,1.286241,0.623513,1.708393,0.829109,3.107699,5.546550,1.234442,1.581401,1.057081,0.900002,-0.222081,0.572446,0.607547,0.251764,4
0.012819,0.009561,0.009468,0.007535,0.011888,0.002851,0.005805,0.004534,728.000000,0.773837,0.947917,0.787027,1.000000,105.254830,0.810296,38.941464,24.664951,-5.361262,0.296194,1.741140,0.626582,2.259895,0.724187,3.673344,7.575884,1.637120,2.138000,1.207723,1.169920,-0.217026,0.637699,1.007735,0.922487,0.061080,2.375963,0.504268,2.469918,0.570476,10.665639,7.202533,2.293430,3.208574,1.172395,1.336575,-0.118899,0.578132,0.006614,0.100708,0.465970,0.785261,0.710009,1.353940,0.834289,2.993167,4.630505,1.239655,1.542431,0.623931,0.836705,-0.264427,0.612503,0.236574,0.835567,0.252269,2.874372,0.410606,2.349795,0.667666,3.755444,6.874866,1.727892,2.309353,1.910883,1.365793,-0.125130,0.516701,1.960330,1.343433,0.425101,1.252351,0.562450,1.431136,0.799647,3.053814,4.472026,1.315369,1.685968,0.974445,0.975832,-0.173464,0.523813,0.522621,0.807150,4
