@relation 'HTS data set'
@attribute 'feature1' real
@attribute 'feature2' real
@attribute 'feature3' real
@attribute 'feature4' real
@attribute 'feature5' real
@attribute 'feature6' real
@attribute 'feature7' real
@attribute 'feature8' real
@attribute 'feature9' real
@attribute 'feature10' real
@attribute 'feature11' real
@attribute 'feature12' real
@attribute 'feature13' real
@attribute 'feature14' real
@attribute 'feature15' real
@attribute 'feature16' real
@attribute 'feature17' real
@attribute 'feature18' real
@attribute 'feature19' real
@attribute 'feature20' real
@attribute 'feature21' real
@attribute 'feature22' real
@attribute 'feature23' real
@attribute 'feature24' real
@attribute 'feature25' real
@attribute 'feature26' real
@attribute 'feature27' real
@attribute 'feature28' real
@attribute 'feature29' real
@attribute 'feature30' real
@attribute 'feature31' real
@attribute 'feature32' real
@attribute 'feature33' real
@attribute 'feature34' real
@attribute 'feature35' real
@attribute 'feature36' real
@attribute 'feature37' real
@attribute 'feature38' real
@attribute 'feature39' real
@attribute 'feature40' real
@attribute 'feature41' real
@attribute 'feature42' real
@attribute 'feature43' real
@attribute 'feature44' real
@attribute 'feature45' real
@attribute 'feature46' real
@attribute 'feature47' real
@attribute 'feature48' real
@attribute 'feature49' real
@attribute 'feature50' real
@attribute 'feature51' real
@attribute 'feature52' real
@attribute 'feature53' real
@attribute 'feature54' real
@attribute 'feature55' real
@attribute 'feature56' real
@attribute 'feature57' real
@attribute 'feature58' real
@attribute 'feature59' real
@attribute 'feature60' real
@attribute 'feature61' real
@attribute 'feature62' real
@attribute 'feature63' real
@attribute 'feature64' real
@attribute 'feature65' real
@attribute 'feature66' real
@attribute 'feature67' real
@attribute 'feature68' real
@attribute 'feature69' real
@attribute 'feature70' real
@attribute 'feature71' real
@attribute 'feature72' real
@attribute 'feature73' real
@attribute 'feature74' real
@attribute 'feature75' real
@attribute 'feature76' real
@attribute 'feature77' real
@attribute 'feature78' real
@attribute 'feature79' real
@attribute 'feature80' real
@attribute 'feature81' real
@attribute 'feature82' real
@attribute 'feature83' real
@attribute 'feature84' real
@attribute 'feature85' real
@attribute 'feature86' real
@attribute 'feature87' real
@attribute 'feature88' real
@attribute 'feature89' real
@attribute 'feature90' real
@attribute 'feature91' real
@attribute 'feature92' real
@attribute 'feature93' real
@attribute class {1 2 3 4}
@data
0.014763,0.013422,0.013301,0.013864,0.010488,0.002525,0.005152,0.003791,602.000000,0.797234,0.919084,0.606855,1.000000,98.568542,0.763066,36.597368,22.092760,52.456711,0.276328,3.533597,0.546471,4.530707,0.697822,3.968379,10.829040,1.726061,2.189939,2.549345,1.334363,-0.133458,0.534909,1.296453,0.983455,0.045595,2.646245,0.456165,2.518712,0.515137,9.717391,7.080211,2.344650,3.365324,1.110801,1.390755,-0.133027,0.617715,0.147653,0.154116,0.322295,2.603355,0.697400,4.340880,0.752845,4.248377,14.569803,1.708538,2.183945,1.995326,1.176938,-0.216390,0.649438,0.446667,0.517413,0.240343,5.735892,0.252163,4.972081,0.648648,3.930023,8.277270,1.766707,2.227112,3.968132,1.496433,-0.065214,0.397542,2.841797,2.031476,0.290262,3.847126,0.570994,4.522260,0.714317,4.328736,14.017220,1.791549,2.301511,2.854011,1.311387,-0.142375,0.558771,1.450267,0.772046,4
0.018296,0.011701,0.012329,0.010472,0.024231,0.017299,0.010031,0.014390,709.000000,0.434464,0.979282,0.788654,1.000000,97.840620,0.911980,31.769613,28.614546,21.375550,0.078504,3.680064,0.511495,3.788133,0.575007,5.561093,11.275207,2.325700,3.261960,2.079148,1.529443,-0.151805,0.649725,0.983067,1.053085,0.052264,2.586817,0.773681,5.737826,0.505917,7.139871,20.271433,2.577983,3.382711,1.034349,1.372891,-0.278359,0.815796,0.332365,0.111438,0.235769,2.394696,0.577322,2.818646,0.712320,4.150286,8.932692,1.870075,2.495408,1.696346,1.251577,-0.200246,0.655884,0.389041,0.463229,0.064402,4.074468,0.470467,3.881127,0.522603,5.620567,10.859577,2.367148,3.348975,2.072544,1.595579,-0.108611,0.575102,1.473991,1.222528,0.208399,2.813839,0.520560,2.909046,0.669533,4.232839,8.910091,1.928331,2.611338,1.871201,1.359642,-0.149431,0.592365,0.362370,0.331543,4
0.013250,0.011652,0.013265,0.012644,0.010854,0.002758,0.005945,0.004228,640.000000,0.898796,0.949555,0.554113,1.000000,105.639610,0.707217,43.593573,19.109991,-49.189755,0.306305,3.359404,0.468118,3.556069,0.701772,3.877095,8.729773,1.686347,2.205255,2.414490,1.329201,-0.167740,0.602648,0.265416,0.341240,0.038302,3.538175,0.378119,3.059309,0.478950,10.163873,7.779477,2.395259,3.559752,1.492796,1.509368,-0.087484,0.530792,0.148056,0.115824,0.255600,3.232037,0.582212,3.861654,0.688567,4.323665,12.240000,1.862240,2.461112,2.253020,1.346969,-0.175925,0.615400,0.340914,1.330240,0.262224,4.513859,0.328030,3.864412,0.665721,3.916844,7.850228,1.779691,2.294984,3.133610,1.444564,-0.088070,0.476353,2.388619,1.707810,0.213122,4.940841,0.388930,4.045037,0.629693,4.457591,11.226106,1.960976,2.643348,3.239518,1.529372,-0.098265,0.492343,1.434389,0.789965,4
0.012261,0.007457,0.010312,0.008691,0.009532,0.001929,0.005638,0.003338,1224.000000,0.721658,0.908686,0.633540,1.000000,146.468040,0.707287,49.276043,34.111320,30.795249,0.249098,1.199272,0.571041,1.415675,0.754007,3.565059,4.391354,1.676486,2.186405,0.834232,1.053537,-0.201828,0.623727,0.746561,0.429288,0.045192,1.979072,0.665296,2.968453,0.577245,10.379436,9.846019,2.482015,3.384377,0.923732,1.283091,-0.188543,0.711998,0.015459,0.011176,0.415442,0.972643,0.706832,1.658616,0.823039,3.197429,5.662736,1.377708,1.744643,0.770232,0.889085,-0.239369,0.615115,0.351901,0.418570,0.221726,1.549656,0.449159,1.436252,0.712886,3.604720,4.075809,1.703911,2.291149,1.023068,1.164761,-0.141549,0.542810,0.759189,1.720382,0.385782,1.332760,0.611056,1.714180,0.789155,3.242602,5.520291,1.427860,1.842861,1.020069,1.007160,-0.183471,0.558678,0.355820,1.168222,4
0.014985,0.010672,0.011864,0.010529,0.015605,0.005487,0.007614,0.006948,634.000000,0.845211,0.942051,0.628968,1.000000,101.740120,0.754778,39.284603,20.994949,-62.457673,0.187866,1.560837,0.762947,2.239182,0.703087,4.423954,9.776537,1.989202,2.512831,1.002606,1.178484,-0.287238,0.773838,0.777345,0.378238,0.041717,3.612167,0.487371,3.223771,0.487469,10.266160,10.332201,2.500521,3.503172,1.579103,1.533488,-0.169354,0.694442,0.126149,0.124221,0.318442,1.548120,0.729200,2.829087,0.765317,3.925430,9.873981,1.704497,2.187110,1.147574,1.080867,-0.277586,0.715192,0.620204,0.487500,0.138500,3.195604,0.523081,1.575433,0.590277,4.457143,7.637174,2.034158,2.712178,1.828504,1.468133,-0.143604,0.618868,1.322038,1.385757,0.264541,2.653820,0.556855,2.943768,0.693387,4.038541,9.297895,1.804263,2.400495,1.833505,1.308213,-0.170697,0.608179,0.493075,0.474944,4
0.014985,0.010672,0.011864,0.010529,0.015605,0.005487,0.007614,0.006948,634.000000,0.845211,0.942051,0.628968,1.000000,101.740120,0.754778,39.284603,20.994949,-62.457673,0.187866,1.560837,0.762947,2.239182,0.703087,4.423954,9.776537,1.989202,2.512831,1.002606,1.178484,-0.287238,0.773838,0.777345,0.378238,0.041717,3.612167,0.487371,3.223771,0.487469,10.266160,10.332201,2.500521,3.503172,1.579103,1.533488,-0.169354,0.694442,0.126149,0.124221,0.318442,1.548120,0.729200,2.829087,0.765317,3.925430,9.873981,1.704497,2.187110,1.147574,1.080867,-0.277586,0.715192,0.620204,0.487500,0.138500,3.195604,0.523081,1.575433,0.590277,4.457143,7.637174,2.034158,2.712178,1.828504,1.468133,-0.143604,0.618868,1.322038,1.385757,0.264541,2.653820,0.556855,2.943768,0.693387,4.038541,9.297895,1.804263,2.400495,1.833505,1.308213,-0.170697,0.608179,0.493075,0.474944,4
0.013250,0.011652,0.013265,0.012644,0.010854,0.002758,0.005945,0.004228,640.000000,0.898796,0.949555,0.554113,1.000000,105.639610,0.707217,43.593573,19.109991,-49.189755,0.306305,3.359404,0.468118,3.556069,0.701772,3.877095,8.729773,1.686347,2.205255,2.414490,1.329201,-0.167740,0.602648,0.265416,0.341240,0.038302,3.538175,0.378119,3.059309,0.478950,10.163873,7.779477,2.395259,3.559752,1.492796,1.509368,-0.087484,0.530792,0.148056,0.115824,0.255600,3.232037,0.582212,3.861654,0.688567,4.323665,12.240000,1.862240,2.461112,2.253020,1.346969,-0.175925,0.615400,0.340914,1.330240,0.262224,4.513859,0.328030,3.864412,0.665721,3.916844,7.850228,1.779691,2.294984,3.133610,1.444564,-0.088070,0.476353,2.388619,1.707810,0.213122,4.940841,0.388930,4.045037,0.629693,4.457591,11.226106,1.960976,2.643348,3.239518,1.529372,-0.098265,0.492343,1.434389,0.789965,4
0.012972,0.007354,0.011888,0.008010,0.014642,0.005030,0.007744,0.006312,1156.000000,0.399261,0.969799,0.722500,1.000000,127.882250,0.874544,40.296785,36.945604,-35.943095,0.250037,0.838803,0.727013,1.609468,0.812866,3.599421,4.141660,1.686374,1.983369,0.642510,0.869292,-0.330270,0.763298,0.090716,0.042237,0.039931,1.932432,0.713465,3.421528,0.559312,9.530888,11.550204,2.551831,3.447910,0.821402,1.252087,-0.230398,0.770296,0.027535,0.087243,0.318656,0.842837,0.765747,1.820960,0.818342,3.556308,6.320956,1.618502,1.977016,0.652248,0.876062,-0.335767,0.748515,0.054399,0.057106,0.225045,1.097179,0.662692,1.665342,0.758738,3.632184,4.021451,1.724130,2.076249,0.769282,0.991230,-0.257291,0.710892,0.309399,0.684103,0.300553,1.259508,0.656594,1.873494,0.781900,3.574198,5.999901,1.643091,2.065204,0.947543,1.006866,-0.265328,0.697363,0.156756,0.403519,4
0.008713,0.005769,0.010516,0.009180,0.012040,0.003191,0.006582,0.004780,666.000000,0.820789,0.922438,0.711538,1.000000,103.254830,0.770002,39.389681,22.500617,-74.715225,0.521486,0.869176,0.685701,0.255585,0.840319,2.718638,2.316893,1.072160,1.244534,0.706585,0.832506,-0.223543,0.587512,0.208142,0.371954,0.045818,3.051971,0.400091,2.490230,0.494389,9.643369,7.075323,2.365292,3.404613,1.278969,1.443545,-0.117235,0.591350,0.073049,0.205967,0.495009,0.867137,0.760798,1.504299,0.840981,3.206033,6.059604,1.259367,1.549474,0.704145,0.829457,-0.350861,0.715129,0.191281,0.243489,0.488188,1.393004,0.461446,0.141514,0.808467,2.722222,1.974280,1.100312,1.272747,1.113368,0.961778,-0.119654,0.468052,0.429767,0.876958,0.463562,1.111111,0.705913,1.359616,0.816683,3.211870,5.781888,1.308996,1.633985,0.880393,0.920563,-0.258875,0.652841,0.682800,0.485434,4
0.012819,0.009561,0.010459,0.008323,0.011888,0.002851,0.006825,0.004762,728.000000,0.773837,0.947917,0.787027,1.000000,105.254830,0.810296,38.941464,24.664951,-5.361262,0.296194,1.741140,0.626582,2.259895,0.724187,3.673344,7.575884,1.637120,2.138000,1.207723,1.169920,-0.217026,0.637699,1.007735,0.922487,0.061080,2.375963,0.504268,2.469918,0.570476,10.665639,7.202533,2.293430,3.208574,1.172395,1.336575,-0.118899,0.578132,0.006614,0.100708,0.378374,0.991730,0.702921,1.669381,0.796856,3.262723,5.684794,1.436843,1.810803,0.744901,0.948654,-0.254721,0.641118,0.380564,0.834121,0.252269,2.874372,0.410606,2.349795,0.667666,3.755444,6.874866,1.727892,2.309353,1.910883,1.365793,-0.125130,0.516701,1.960330,1.343433,0.333374,1.596622,0.543286,1.748495,0.752976,3.333108,5.395120,1.517417,1.978905,1.164404,1.108707,-0.155949,0.533879,0.706619,0.516007,4
